lineup_id,tier,temperature,player_ids,total_salary,milp_projection,mean,median,p10,p90,std,skewness,fitness
child_883677,3,2.8773112406588597,"123617-138820,123617-55050,123617-110484,123617-12548,123617-90573,123617-86518,123617-86312,123617-86080,123617-151966",59800,117.6,125.55286600417939,121.8231894476728,93.53342591226388,162.1633120531793,28.42608992965141,0.13120610557895068,68.62988614091543
39,2,0.49,"123617-138820,123617-55050,123617-152316,123617-167620,123617-86518,123617-110484,123617-151903,123617-86080,123617-12539",60000,119.29999999999998,124.7140294323418,120.76568777965812,92.74079963409264,161.36880485692168,27.85685235112686,0.1417368194696255,68.62800522282905
118,3,1.8106551900138323,"123617-138820,123617-55050,123617-152316,123617-90573,123617-103539,123617-86518,123617-40845,123617-107293,123617-12548",59900,118.0,123.77669779742584,120.32398403623776,91.40846642254309,159.97477634217253,27.708585370908153,0.1246080850021731,68.56630991962945
13,1,0.0,"123617-138820,123617-55050,123617-152647,123617-102965,123617-90573,123617-86518,123617-151903,123617-86080,123617-12534",60000,119.7,124.85398375627292,121.48171466914098,92.72409366249816,161.27106197948288,27.833481392412327,0.1211587238975875,68.54696831698472
109,3,2.8117740914609253,"123617-138820,123617-55050,123617-152316,123617-167620,123617-57403,123617-110484,123617-151903,123617-40845,123617-12543",60000,118.19999999999996,124.04116223990162,120.302894214635,92.38089376201822,160.910285345403,28.074979640300196,0.1331530093044321,68.52939158338478
child_270993,1,0.0,"123617-138820,123617-55050,123617-110484,123617-12534,123617-90573,123617-167620,123617-151903,123617-86080,123617-6654",59700,120.59999999999998,124.91563534139377,121.42636037523226,93.13517898637481,161.61682569920504,27.67609760646549,0.12607539602499318,68.48164671283023
86,2,0.96,"123617-138820,123617-55050,123617-6654,123617-90573,123617-167620,123617-151903,123617-40845,123617-107293,123617-12548",59900,118.9,123.88513585365922,120.20869490874256,92.1584889047762,160.60668056845378,27.51351020050238,0.1336231152668233,68.44819166367758
child_126542,1,0.0,"123617-138820,123617-55050,123617-107293,123617-12539,123617-90573,123617-167620,123617-103539,123617-86080,123617-152316",59300,120.1,122.64794909450649,118.77350659867298,90.90234299056232,159.27814506779112,27.549537297751733,0.14063548341879745,68.3758020772288
26,2,0.36,"123617-138820,123617-55050,123617-102965,123617-90573,123617-167620,123617-110484,123617-151903,123617-40845,123617-12546",59900,119.39999999999998,124.44362050228185,120.63246517418776,92.90960661658016,161.2830896562606,27.722014089997167,0.1374775770519949,68.37348303968042
46,2,0.56,"123617-138820,123617-55050,123617-152316,123617-90573,123617-167620,123617-151903,123617-86080,123617-107293,123617-12548",59900,119.1,123.84098793050109,120.57956507610292,91.18951280903276,159.5509307960718,27.78127716689192,0.1173964333894968,68.36141798703905
child_534504,2,0.6799999999999999,"123617-138820,123617-55050,123617-110484,123617-12534,123617-90573,123617-103539,123617-151903,123617-86080,123617-152316",59600,119.09999999999998,125.29320514428802,121.81736210807574,93.07709161511772,161.37685443869577,28.532612868208233,0.12182000478775484,68.29976282357805
child_828166,3,2.8773112406588597,"123617-138820,123617-55050,123617-152647,123617-12534,123617-90573,123617-103539,123617-86312,123617-86080,123617-102965",59700,117.6,124.49907265047065,120.44179481139211,92.64157852423702,160.9320812386736,27.83960553925528,0.14573761949886704,68.29050271443657
10,1,0.0,"123617-138820,123617-55050,123617-102965,123617-167620,123617-103539,123617-110484,123617-151903,123617-86080,123617-12548",60000,119.79999999999998,126.49472279141838,123.31905835286884,94.32643134999554,162.61520217729594,27.64102266715414,0.1148895421414053,68.2887708273004
5,1,0.0,"123617-138820,123617-55050,123617-6654,123617-90573,123617-167620,123617-110484,123617-151903,123617-86080,123617-12537",59900,120.0,124.31612737684824,120.61647503858734,92.83334258765122,161.04689262357212,27.44056885934695,0.1348241852136638,68.2135500359209
15,1,0.0,"123617-138820,123617-55050,123617-102965,123617-90573,123617-110484,123617-151903,123617-86312,123617-40845,123617-12548",59900,119.59999999999998,125.13967809715108,121.58081434388843,93.44479725729984,161.6525162511722,27.05085560852994,0.1315619662743838,68.20771899387235
