Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
123865-91598,RB,D'Andre,D'Andre Swift,Swift,14.054546009410512,11,6400,CHI@GB,CHI,GB,,,,,,RB/FLEX
123865-184183,QB,Shedeur,Shedeur Sanders,Sanders,8.09999974568685,3,6400,TEN@CLE,CLE,TEN,,,,,,QB
123865-152575,QB,J.J.,J.J. McCarthy,McCarthy,12.526667277018229,6,6400,WAS@MIN,MIN,WAS,,,,,,QB
123865-57403,WR,Courtland,Courtland Sutton,Sutton,10.925000508626303,12,6300,DEN@LV,DEN,LV,,,,,,WR/FLEX
123865-45229,RB,Kareem,Kareem Hunt,Hunt,9.908333460489908,12,6300,HOU@KC,KC,HOU,,,,,,RB/FLEX
123865-149696,QB,Trey,Trey Lance,Lance,1.7333332697550456,3,6300,PHI@LAC,LAC,PHI,,,,,,QB
123865-137530,TE,Tyler,Tyler Warren,Warren,10.666666666666666,12,6300,IND@JAC,IND,JAC,,,,,,TE/FLEX
123865-144102,RB,Kyle,Kyle Monangai,Monangai,9.15000025431315,12,6300,CHI@GB,CHI,GB,,,,,,RB/FLEX
123865-200653,QB,Max,Max Brosmer,Brosmer,0.6299999952316284,4,6300,WAS@MIN,MIN,WAS,,,,,,QB
123865-151745,WR,Brian,Brian Thomas Jr.,Thomas Jr.,8.266666836208767,9,6200,IND@JAC,JAC,IND,,,,,,WR/FLEX
123865-103698,QB,Dillon,Dillon Gabriel,Gabriel,8.008889092339409,9,6200,TEN@CLE,CLE,TEN,,,,,,QB
123865-33076,TE,Travis,Travis Kelce,Kelce,11.125,12,6200,HOU@KC,KC,HOU,,,,,,TE/FLEX
123865-60947,QB,Jarrett,Jarrett Stidham,Stidham,-0.10000000149011612,1,6200,DEN@LV,DEN,LV,,,,,,QB
123865-138774,RB,Woody,Woody Marks,Marks,8.366666793823242,12,6200,HOU@KC,HOU,KC,,,,,,RB/FLEX
123865-89628,QB,Davis,Davis Mills,Mills,13.391999816894531,5,6200,HOU@KC,HOU,KC,,,,,,QB
123865-64051,QB,Drew,Drew Lock,Lock,0.05000000074505806,2,6200,SEA@ATL,SEA,ATL,,,,,,QB
123865-169776,WR,Christian,Christian Watson,Watson,10.84999974568685,6,6200,CHI@GB,GB,CHI,,,,,,WR/FLEX
123865-120639,WR,Quentin,Quentin Johnston,Johnston,11.319999694824219,10,6200,PHI@LAC,LAC,PHI,,,,,,WR/FLEX
123865-154450,QB,Riley,Riley Leonard,Leonard,0.10000000149011612,1,6200,IND@JAC,IND,JAC,,,,,,QB
123865-103376,RB,Zach,Zach Charbonnet,Charbonnet,9.354545593261719,11,6200,SEA@ATL,SEA,ATL,,,,,,RB/FLEX
123865-63634,WR,Jakobi,Jakobi Meyers,Meyers,8.863636363636363,11,6100,IND@JAC,JAC,IND,,,,,,WR/FLEX
123865-55635,WR,Chris,Chris Godwin Jr.,Godwin Jr.,4.849999904632568,4,6100,NO@TB,TB,NO,,,,,,WR/FLEX
123865-142042,RB,Trey,Trey Benson,Benson,7.224999904632568,4,6100,LAR@ARI,ARI,LAR,IR,Knee - meniscus,,,,RB/FLEX
123865-86081,QB,Emory,Emory Jones,Jones,,0,6000,SEA@ATL,ATL,SEA,IR,Concussion,,,,QB
123865-152646,QB,Kyle,Kyle McCord,McCord,,0,6000,PHI@LAC,PHI,LAC,,,,,,QB
