QB,RB1,RB2,WR1,WR2,WR3,TE,FLEX,DEF,lineup_id,player_ids,tier,temperature,milp_projection,total_salary,mean,median,p10,p90,std,skewness,fitness
Bo Nix,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Tetairoa McMillan,Troy Franklin,Brenton Strange,RJ Harvey,Miami Dolphins,33,"123617-138820,123617-55050,123617-102965,123617-90573,123617-167620,123617-110484,123617-151903,123617-103587,123617-12539",1,0.0,119.0,59800,124.90607346609386,121.65932744693531,93.36253837237308,160.95489974337622,27.321376063102655,0.118835376800192,160.95489974337622
Drake Maye,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Tetairoa McMillan,Quentin Johnston,Dalton Schultz,RJ Harvey,New York Giants,34,"123617-138820,123617-55050,123617-152316,123617-90573,123617-167620,123617-110484,123617-120639,123617-55042,123617-12543",2,0.992537313432836,117.5,60000,122.93212102817866,118.4405372217202,90.42408135687086,160.85503576972957,28.95914094436029,0.15510072674766873,160.85503576972957
Drake Maye,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Tetairoa McMillan,Alec Pierce,Kyle Pitts Sr.,RJ Harvey,New Orleans Saints,35,"123617-138820,123617-55050,123617-152316,123617-90573,123617-167620,123617-110484,123617-86312,123617-86080,123617-12542",1,0.0,119.29999999999998,60000,125.37853952756615,121.80781478485537,93.58742102439378,160.80952695082695,27.756508627626165,0.1286445925391648,160.80952695082695
Jaxson Dart,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Wan'Dale Robinson,Tre Tucker,Kyle Pitts Sr.,RJ Harvey,Denver Broncos,36,"123617-138820,123617-55050,123617-151966,123617-90573,123617-103539,123617-110484,123617-103619,123617-86080,123617-12531",2,0.956716417910448,117.5,60000,125.01252131419618,121.18540696515943,92.83168782639481,160.79325714050887,27.511613305079333,0.1391090484806344,160.79325714050887
Bo Nix,De'Von Achane,Christian McCaffrey,Tetairoa McMillan,Khalil Shakir,Troy Franklin,Kyle Pitts Sr.,RJ Harvey,Los Angeles Chargers,37,"123617-138820,123617-55050,123617-102965,123617-167620,123617-86518,123617-110484,123617-151903,123617-86080,123617-12548",1,0.0,119.29999999999998,59900,125.5803837127459,122.44066001331299,93.56587937783412,160.77869631825678,27.741561686761266,0.11317761180442969,160.77869631825678
Drake Maye,De'Von Achane,TreVeyon Henderson,Wan'Dale Robinson,Khalil Shakir,Troy Franklin,Kyle Pitts Sr.,RJ Harvey,Seattle Seahawks,38,"123617-138820,123617-152316,123617-152647,123617-103539,123617-86518,123617-110484,123617-151903,123617-86080,123617-12550",2,0.4373134328358209,117.9,60000,124.34910704155774,121.11374869534754,92.51153212648502,160.77602449080413,27.473151318786574,0.11776436960829521,160.77602449080413
Bo Nix,De'Von Achane,Christian McCaffrey,Wan'Dale Robinson,Khalil Shakir,Troy Franklin,Brenton Strange,RJ Harvey,Seattle Seahawks,39,"123617-138820,123617-55050,123617-102965,123617-103539,123617-86518,123617-110484,123617-151903,123617-103587,123617-12550",2,0.4194029850746268,117.89999999999998,60000,124.53632063503215,120.92606344079556,93.04997156112174,160.6988053234957,27.44887273791143,0.13152661053545683,160.6988053234957
Drake Maye,De'Von Achane,Christian McCaffrey,Tetairoa McMillan,Wan'Dale Robinson,Troy Franklin,Brenton Strange,RJ Harvey,Arizona Cardinals,40,"123617-138820,123617-55050,123617-152316,123617-167620,123617-103539,123617-110484,123617-151903,123617-103587,123617-12546",2,0.4432835820895522,117.89999999999998,59900,124.05480195303748,120.8096808284321,91.5042027141492,160.66463166045955,27.780944041407988,0.11681104572142925,160.66463166045955
Bo Nix,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Troy Franklin,Alec Pierce,Hunter Henry,RJ Harvey,Los Angeles Rams,41,"123617-138820,123617-55050,123617-102965,123617-90573,123617-110484,123617-151903,123617-86312,123617-40845,123617-12538",1,0.0,119.09999999999998,60000,124.54589007216491,121.10307657581176,93.11720609476237,160.65669367495042,27.274828467974928,0.12622676987301953,160.65669367495042
Jaxson Dart,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Tetairoa McMillan,Tre Tucker,Hunter Henry,RJ Harvey,Atlanta Falcons,42,"123617-138820,123617-55050,123617-151966,123617-90573,123617-167620,123617-110484,123617-103619,123617-40845,123617-12525",3,2.9113071164073867,117.3,59900,123.43101006688946,119.88861151976255,91.94667150346605,160.6445129092113,27.698220248990577,0.12789264130629496,160.6445129092113
Drake Maye,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Tetairoa McMillan,Alec Pierce,Hunter Henry,RJ Harvey,Tennessee Titans,43,"123617-138820,123617-55050,123617-152316,123617-90573,123617-167620,123617-110484,123617-86312,123617-40845,123617-12534",1,0.0,119.29999999999998,59900,124.62323714207093,121.18744687663697,92.79039522942519,160.63844385042302,27.056811321672956,0.12698430072141725,160.63844385042302
Bo Nix,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Khalil Shakir,Troy Franklin,Kyle Pitts Sr.,TreVeyon Henderson,Tennessee Titans,44,"123617-138820,123617-55050,123617-152647,123617-102965,123617-90573,123617-86518,123617-151903,123617-86080,123617-12534",1,0.0,139.60000000000002,60000,124.44768081520097,120.70777453708055,92.29696729174074,160.62876429011575,27.12875450037967,0.1378576476140132,160.62876429011575
Bo Nix,De'Von Achane,Christian McCaffrey,Chris Olave,Jaylen Waddle,Troy Franklin,Kyle Pitts Sr.,RJ Harvey,Arizona Cardinals,45,"123617-138820,123617-55050,123617-102965,123617-87770,123617-90573,123617-110484,123617-151903,123617-86080,123617-12546",1,0.0,130.2,60000,123.16386085917617,119.17831217917575,91.8572920082671,160.5956317911829,27.590428267390738,0.14445403461572792,160.5956317911829
Drake Maye,De'Von Achane,Christian McCaffrey,Tetairoa McMillan,Khalil Shakir,Troy Franklin,Kyle Pitts Sr.,RJ Harvey,Miami Dolphins,46,"123617-138820,123617-55050,123617-152316,123617-167620,123617-86518,123617-110484,123617-151903,123617-86080,123617-12539",1,0.0,119.29999999999998,60000,125.18075999252079,121.42853558718977,93.1334062272072,160.59525714723134,28.683725410152828,0.13081370539138168,160.59525714723134
Drake Maye,De'Von Achane,TreVeyon Henderson,Jaylen Waddle,Tetairoa McMillan,Wan'Dale Robinson,Kyle Pitts Sr.,RJ Harvey,Miami Dolphins,47,"123617-138820,123617-152316,123617-152647,123617-90573,123617-167620,123617-103539,123617-110484,123617-86080,123617-12539",1,0.0,119.1,60000,125.30039809443262,122.34908245817394,93.04283379234457,160.57097545847313,27.823865562522297,0.10607137349865561,160.57097545847313
Cam Ward,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Tetairoa McMillan,Wan'Dale Robinson,Kyle Pitts Sr.,RJ Harvey,Los Angeles Chargers,48,"123617-138820,123617-55050,123617-90573,123617-167620,123617-103539,123617-168356,123617-110484,123617-86080,123617-12548",1,0.0,117.4,59800,124.89267121658256,120.95405637354824,93.45064883526632,160.55358256607101,27.829875155766832,0.14152470397331862,160.55358256607101
Drake Maye,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Troy Franklin,Adonai Mitchell,Kyle Pitts Sr.,RJ Harvey,Los Angeles Chargers,49,"123617-138820,123617-55050,123617-152316,123617-90573,123617-110484,123617-151903,123617-151789,123617-86080,123617-12548",1,0.0,119.09999999999998,60000,124.53338317800372,121.08626122221233,92.69438953327852,160.54857303438285,27.91509604981608,0.12348594286187671,160.54857303438285
Drake Maye,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Wan'Dale Robinson,Chimere Dike,Brenton Strange,RJ Harvey,Atlanta Falcons,50,"123617-138820,123617-55050,123617-152316,123617-90573,123617-103539,123617-110484,123617-129112,123617-103587,123617-12525",3,1.5346203035238366,117.3,60000,123.6046443685349,120.36452347998372,90.6354701722098,160.52650040651864,28.221655549445778,0.11480973831865861,160.52650040651864
Drake Maye,De'Von Achane,Christian McCaffrey,Tetairoa McMillan,Wan'Dale Robinson,Parker Washington,Kyle Pitts Sr.,RJ Harvey,Atlanta Falcons,51,"123617-138820,123617-55050,123617-152316,123617-167620,123617-103539,123617-110484,123617-137516,123617-86080,123617-12525",3,2.8666479345489417,117.4,60000,124.06742534851422,120.37473942053981,92.44902547464157,160.52240131620232,27.883257417374846,0.13243380687915582,160.52240131620232
Josh Allen,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Troy Franklin,Tre Tucker,Kyle Pitts Sr.,RJ Harvey,Tennessee Titans,52,"123617-62239,123617-138820,123617-55050,123617-90573,123617-110484,123617-151903,123617-103619,123617-86080,123617-12534",1,0.0,118.5,59900,123.50255474709681,119.47553759135744,91.89535798256603,160.51824857106428,27.997187011968894,0.14383649164531453,160.51824857106428
Drake Maye,De'Von Achane,Christian McCaffrey,Courtland Sutton,Khalil Shakir,Tre Tucker,Kyle Pitts Sr.,RJ Harvey,Los Angeles Chargers,53,"123617-138820,123617-55050,123617-152316,123617-57403,123617-86518,123617-110484,123617-103619,123617-86080,123617-12548",2,0.8492537313432835,117.6,60000,124.3415890215413,120.80907797491176,92.0439123806529,160.4345817204273,27.81734538190776,0.12698950953555266,160.4345817204273
