id,name,position,team,opponent,game,salary,fppg,injury_status,fpProjPts,tdOdds,tdProbability,floor_shootout,ceiling_shootout,floor_defensive,ceiling_defensive,floor_blowout_favorite,ceiling_blowout_favorite,floor_blowout_underdog,ceiling_blowout_underdog,floor_competitive,ceiling_competitive,mu_shootout,sigma_shootout,shift_shootout,mu_defensive,sigma_defensive,shift_defensive,mu_blowout_favorite,sigma_blowout_favorite,shift_blowout_favorite,mu_blowout_underdog,sigma_blowout_underdog,shift_blowout_underdog,mu_competitive,sigma_competitive,shift_competitive,td_odds_floor_mult,td_odds_ceiling_mult,game_id,shootout_prob,defensive_prob,blowout_prob,competitive_prob,is_favorite
123617-157467,Keon Coleman,WR,BUF,PIT,BUF@PIT,5000,7.555555555555555,,2.5,1800,5.26,0.9375,5.4375,0.9375,4.125,1.0,4.125,1.0625,5.0625,1.0625,4.6875,0.8196332297946893,0.6878733771089145,0.0,0.6815065414806102,0.5800925495341913,0.0,0.7137758020493958,0.554912711721678,0.0,0.8464853192806198,0.6111608544830318,0.0,0.8080047987125556,0.5811343447407479,0.0,1.00263,1.00789,PIT@BUF,0.2502015769709772,0.26119387134689187,0.1074352269626084,0.38116932471952236,True
123617-93055,Isaiah Hodgins,WR,NYG,NE,NYG@NE,5000,9.699999809265137,,5.6,2500,3.85,2.0999999999999996,12.179999999999998,2.0999999999999996,9.239999999999998,2.2399999999999998,9.239999999999998,2.38,11.339999999999998,2.38,10.499999999999998,1.624707072591821,0.6873282371016233,0.0,1.486580384277742,0.5795474095269001,0.0,1.5188496448465276,0.5543675717143867,0.0,1.6515591620777519,0.6106157144757406,0.0,1.6130786415096874,0.5805892047334565,0.0,1.001925,1.005775,NYG@NE,0.2613375582848439,0.22469149494986462,0.40902328797807275,0.10494765878721858,False
123617-103511,Devaughn Vele,WR,NO,MIA,NO@MIA,4900,3.2666667302449546,,5.4,1900,5.0,2.0250000000000004,11.745000000000001,2.0250000000000004,8.910000000000002,2.16,8.910000000000002,2.295,10.935000000000002,2.295,10.125000000000002,1.5894831068533335,0.6877729697296123,0.0,1.4513564185392545,0.5799921421548893,0.0,1.48362567910804,0.5548123043423758,0.0,1.616335196339264,0.6110604471037299,0.0,1.5778546757711998,0.5810339373614458,0.0,1.0025,1.0075,NO@MIA,0.18240478979995478,0.3850280624424308,0.22147984650184369,0.21108730125577074,False
123617-88297,Chig Okonkwo,TE,TEN,JAC,JAC@TEN,4900,5.01818188753995,,5.0,,0.0,1.875,10.5,1.875,8.625,2.0,8.625,2.0,9.75,2.125,9.375,1.4899919582929257,0.6721409594661948,0.0,1.3916368111698987,0.5953940303785379,0.0,1.4239060717386844,0.5702141925660246,0.0,1.4852072327848507,0.6180477426893988,0.0,1.4959091871164274,0.5790928782679712,0.0,1.0,1.0,TEN@JAX,0.19124132971181756,0.37247750606079016,0.25516182752210337,0.18111933670528885,False
123617-158983,Ja'Tavion Sanders,TE,CAR,LAR,LAR@CAR,4900,3.3444444868299694,,3.9,3000,3.23,1.4625,8.19,1.4625,6.727499999999999,1.56,6.727499999999999,1.56,7.6049999999999995,1.6575,7.3125,1.2447540980197864,0.6733970944347323,0.0,1.1463989508967596,0.5966501653470754,0.0,1.1786682114655451,0.571470327534562,0.0,1.2399693725117111,0.619303877657936,0.0,1.250671326843288,0.5803490132365087,0.0,1.001615,1.004845,CAR@LAR,0.160993076582962,0.2754092249059485,0.5322181457809924,0.03137955273009704,False
123617-94534,Gabe Davis,WR,BUF,PIT,BUF@PIT,4900,4.099999904632568,,4.2,,0.0,1.5750000000000002,9.135000000000002,1.5750000000000002,6.9300000000000015,1.6800000000000002,6.9300000000000015,1.785,8.505,1.785,7.875000000000001,1.3331842310537836,0.6858319106361379,0.0,1.1950575427397043,0.5780510830614146,0.0,1.22732680330849,0.5528712452489014,0.0,1.360036320539714,0.6091193880102552,0.0,1.3215557999716494,0.5790928782679712,0.0,1.0,1.0,PIT@BUF,0.2502015769709772,0.26119387134689187,0.1074352269626084,0.38116932471952236,True
123617-174486,Dylan Sampson,RB,CLE,SF,SF@CLE,4900,4.718181956898082,,4.6,3000,3.23,2.07,7.245,2.1849999999999996,7.934999999999999,2.1849999999999996,8.969999999999999,1.7249999999999999,7.245,1.9549999999999998,8.28,1.3571535905503218,0.4900242041499759,0.0,1.4296730902883232,0.5044225935428241,0.0,1.4909742513344892,0.5522561436661982,0.0,1.2659928121533444,0.5611573374923225,0.0,1.395340079942609,0.5644222274489591,0.0,1.001615,1.004845,CLE@SF,0.1440244461689938,0.48466861362189917,0.190113846021111,0.18119309418799603,False
123617-29501,Brandin Cooks,WR,BUF,PIT,BUF@PIT,4900,2.888888888888889,,1.6,4000,2.44,0.6000000000000001,3.4800000000000004,0.6000000000000001,2.6400000000000006,0.6400000000000001,2.6400000000000006,0.68,3.2400000000000007,0.68,3.0000000000000004,0.3705396224615122,0.686781565007688,0.0,0.23241293414743314,0.579000737432965,0.0,0.2646821947162188,0.5538208996204516,0.0,0.39739171194744266,0.6100690423818055,0.0,0.3589111913793785,0.5800425326395215,0.0,1.00122,1.00366,PIT@BUF,0.2502015769709772,0.26119387134689187,0.1074352269626084,0.38116932471952236,True
123617-41872,Evan Engram,TE,DEN,WAS,DEN@WAS,4900,4.8700000762939455,,5.8,1400,6.67,2.175,12.179999999999998,2.175,10.004999999999999,2.32,10.004999999999999,2.32,11.309999999999999,2.465,10.875,1.6450543296896125,0.6747260408211869,0.0,1.5466991825665852,0.59797911173353,0.0,1.5789684431353712,0.5727992739210168,0.0,1.6402696041815372,0.6206328240443909,0.0,1.6509715585131142,0.5816779596229634,0.0,1.003335,1.010005,WAS@DEN,0.19215037254608588,0.35344931483535275,0.2699729160130748,0.1844273966054864,True
123617-128986,Jaylin Lane,WR,WAS,DEN,DEN@WAS,4900,3.2000000693581323,,2.4,4000,2.44,0.8999999999999999,5.22,0.8999999999999999,3.96,0.96,3.96,1.02,4.859999999999999,1.02,4.5,0.7760047305696764,0.686781565007688,0.0,0.6378780422555974,0.579000737432965,0.0,0.670147302824383,0.5538208996204516,0.0,0.802856820055607,0.6100690423818054,0.0,0.7643762994875429,0.5800425326395215,0.0,1.00122,1.00366,WAS@DEN,0.19215037254608588,0.35344931483535275,0.2699729160130748,0.1844273966054864,False
123617-119788,Xavier Hutchinson,WR,HOU,IND,HOU@IND,4900,5.779999923706055,,3.3,4000,2.44,1.2374999999999998,7.177499999999998,1.2374999999999998,5.444999999999999,1.32,5.444999999999999,1.4024999999999999,6.682499999999999,1.4024999999999999,6.187499999999999,1.094458461688211,0.6867815650076879,0.0,0.9563317733741319,0.579000737432965,0.0,0.9886010339429174,0.5538208996204516,0.0,1.1213105511741415,0.6100690423818055,0.0,1.0828300306060772,0.5800425326395215,0.0,1.00122,1.00366,HOU@IND,0.24401835446696882,0.2680423971262237,0.10822293176425005,0.3797163166425575,False
123617-64581,Van Jefferson,WR,TEN,JAC,JAC@TEN,4800,3.888888888888889,,5.2,2800,3.45,1.9500000000000002,11.31,1.9500000000000002,8.580000000000002,2.08,8.580000000000002,2.21,10.530000000000001,2.21,9.75,1.5502009161527377,0.6871733087904064,0.0,1.4120742278386584,0.5793924812156831,0.0,1.4443434884074442,0.5542126434031699,0.0,1.577053005638668,0.6104607861645237,0.0,1.538572485070604,0.5804342764222398,0.0,1.001725,1.005175,TEN@JAX,0.19124132971181756,0.37247750606079016,0.25516182752210337,0.18111933670528885,False
123617-64585,Dawson Knox,TE,BUF,PIT,BUF@PIT,4800,3.35,,5.2,1800,5.26,1.9500000000000002,10.92,1.9500000000000002,8.97,2.08,8.97,2.08,10.14,2.21,9.75,1.534455463602281,0.6741824259389714,0.0,1.4361003164792536,0.5974354968513146,0.0,1.4683695770480392,0.5722556590388013,0.0,1.5296707380942052,0.6200892091621752,0.0,1.5403726924257821,0.5811343447407479,0.0,1.00263,1.00789,PIT@BUF,0.2502015769709772,0.26119387134689187,0.1074352269626084,0.38116932471952236,True
123617-12531,Denver Broncos,D,DEN,WAS,DEN@WAS,4800,8.272727272727273,,8.9,2200,4.35,3.1149999999999998,14.017500000000002,4.45,18.69,4.45,17.355000000000004,3.3375000000000004,14.017500000000002,3.7825,16.02,1.8926060718526958,0.5885087278412859,0.0,2.2147845800479526,0.5615910160059324,0.0,2.1777305939710914,0.5326776370416496,0.0,1.9271025075961714,0.5615910160059323,0.0,2.0564497753854356,0.5648559059625687,0.0,1.002175,1.006525,WAS@DEN,0.19215037254608588,0.35344931483535275,0.2699729160130748,0.1844273966054864,True
123617-12554,Jacksonville Jaguars,D,JAC,TEN,JAC@TEN,4800,7.636363636363637,,7.8,2200,4.35,2.73,12.285,3.9,16.38,3.9,15.209999999999999,2.925,12.285,3.315,14.04,1.7606785288101476,0.5885087278412858,0.0,2.0828570370054043,0.5615910160059323,0.0,2.0458030509285434,0.5326776370416495,0.0,1.7951749645536232,0.5615910160059324,0.0,1.9245222323428877,0.5648559059625687,0.0,1.002175,1.006525,TEN@JAX,0.19124132971181756,0.37247750606079016,0.25516182752210337,0.18111933670528885,True
123617-93539,Michael Carter,RB,ARI,TB,ARI@TB,4800,5.842857360839844,,6.2,1500,6.25,2.79,9.765,2.945,10.695,2.945,12.090000000000002,2.325,9.765,2.635,11.16,1.6586488074635222,0.4911913817736247,0.0,1.7311683072015234,0.5055897711664731,0.0,1.7924694682476896,0.5534233212898472,0.0,1.567488029066545,0.5623245151159715,0.0,1.6968352968558091,0.565589405072608,0.0,1.003125,1.009375,ARI@TB,0.24637684918481859,0.2867018011521415,0.17263273036265456,0.2942886193003855,False
123617-133477,Darnell Washington,TE,PIT,BUF,BUF@PIT,4800,5.137499809265137,,4.3,2000,4.76,1.6124999999999998,9.029999999999998,1.6124999999999998,7.417499999999999,1.72,7.417499999999999,1.72,8.385,1.8275,8.0625,1.3439149701439215,0.6739892887597737,0.0,1.2455598230208942,0.5972423596721169,0.0,1.27782908358968,0.5720625218596035,0.0,1.3391302446358462,0.6198960719829777,0.0,1.349832198967423,0.5809412075615501,0.0,1.00238,1.00714,PIT@BUF,0.2502015769709772,0.26119387134689187,0.1074352269626084,0.38116932471952236,False
123617-89588,Colby Parkinson,TE,LAR,CAR,LAR@CAR,4800,5.237500190734863,,5.5,1200,7.69,2.0625,11.549999999999999,2.0625,9.487499999999999,2.2,9.487499999999999,2.2,10.725,2.3375,10.3125,1.5929554410894347,0.6751183473556509,0.0,1.4946002939664074,0.5983714182679939,0.0,1.526869554535193,0.5731915804554806,0.0,1.5881707155813594,0.6210251305788548,0.0,1.5988726699129359,0.5820702661574272,0.0,1.003845,1.011535,CAR@LAR,0.160993076582962,0.2754092249059485,0.5322181457809924,0.03137955273009704,True
123617-72182,Dee Eskridge,WR,MIA,NO,NO@MIA,4800,0.7749999761581421,,0.0,7000,1.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.2,0.0,1.000705,1.002115,NO@MIA,0.18240478979995478,0.3850280624424308,0.22147984650184369,0.21108730125577074,True
123617-63050,Ty Johnson,RB,BUF,PIT,BUF@PIT,4800,3.872727134011008,,4.2,3500,2.78,1.8900000000000001,6.615000000000001,1.9949999999999999,7.245,1.9949999999999999,8.190000000000001,1.5750000000000002,6.615000000000001,1.785,7.5600000000000005,1.2657334955639867,0.4898496857450984,0.0,1.3382529953019877,0.5042480751379467,0.0,1.3995541563481542,0.5520816252613209,0.0,1.1745727171670093,0.5609828190874452,0.0,1.3039199849562735,0.5642477090440817,0.0,1.00139,1.00417,PIT@BUF,0.2502015769709772,0.26119387134689187,0.1074352269626084,0.38116932471952236,True
123617-152148,Gunnar Helm,TE,TEN,JAC,JAC@TEN,4800,4.3363637057217685,,5.5,2000,4.76,2.0625,11.549999999999999,2.0625,9.487499999999999,2.2,9.487499999999999,2.2,10.725,2.3375,10.3125,1.5900480396828303,0.6739892887597737,0.0,1.491692892559803,0.5972423596721168,0.0,1.5239621531285883,0.5720625218596034,0.0,1.585263314174755,0.6198960719829777,0.0,1.5959652685063315,0.5809412075615502,0.0,1.00238,1.00714,TEN@JAX,0.19124132971181756,0.37247750606079016,0.25516182752210337,0.18111933670528885,False
123617-201535,Kameron Johnson,WR,TB,ARI,ARI@TB,4800,1.4272727099331943,,0.4,8000,1.23,0.15000000000000002,0.8700000000000001,0.15000000000000002,0.6600000000000001,0.16000000000000003,0.6600000000000001,0.17,0.8100000000000002,0.17,0.7500000000000001,-1.0169619705881527,0.6863112082103092,0.0,-1.1550886589022316,0.5785303806355862,0.0,-1.1228193983334462,0.5533505428230728,0.0,-0.9901098811022222,0.6095986855844266,0.0,-1.0285904016702863,0.5795721758421427,0.0,1.000615,1.001845,ARI@TB,0.24637684918481859,0.2867018011521415,0.17263273036265456,0.2942886193003855,True
123617-55335,David Njoku,TE,CLE,SF,SF@CLE,4700,6.8666665818956165,,4.9,2500,3.85,1.8375000000000001,10.290000000000001,1.8375000000000001,8.4525,1.9600000000000002,8.4525,1.9600000000000002,9.555000000000001,2.0825,9.1875,1.4736300200616634,0.6736372859316803,0.0,1.3752748729386364,0.5968903568440234,0.0,1.4075441335074221,0.57171051903151,0.0,1.4688452945535884,0.6195440691548842,0.0,1.479547248885165,0.5805892047334567,0.0,1.001925,1.005775,CLE@SF,0.1440244461689938,0.48466861362189917,0.190113846021111,0.18119309418799603,False
123617-174245,Isaiah Bond,WR,CLE,SF,SF@CLE,4700,2.922222137451172,,3.2,5000,1.96,1.2000000000000002,6.960000000000001,1.2000000000000002,5.280000000000001,1.2800000000000002,5.280000000000001,1.36,6.480000000000001,1.36,6.000000000000001,1.0632081189529385,0.686595113066374,0.0,0.9250814306388596,0.5788142854916509,0.0,0.9573506912076453,0.5536344476791377,0.0,1.090060208438869,0.6098825904404915,0.0,1.051579687870805,0.5798560806982076,0.0,1.00098,1.00294,CLE@SF,0.1440244461689938,0.48466861362189917,0.190113846021111,0.18119309418799603,False
