Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
120838-87787,RB,J.K.,J.K. Dobbins,Dobbins,14.533332824707031,3,6600,CIN@DEN,DEN,CIN,,,,,,RB/FLEX
120838-89981,WR,Tee,Tee Higgins,Higgins,6.633333206176758,3,6600,CIN@DEN,CIN,DEN,,,,,,WR/FLEX
120838-152575,QB,J.J.,J.J. McCarthy,McCarthy,14.020000457763672,2,6600,MIN@PIT,MIN,PIT,NA,Ankle,,,,QB
120838-6714,QB,Joe,Joe Flacco,Flacco,9.546666463216146,3,6500,CLE@DET,CLE,DET,,,,,,QB
120838-29253,WR,Keenan,Keenan Allen,Allen,15.633333841959635,3,6500,LAC@NYG,LAC,NYG,,,,,,WR/FLEX
120838-88797,QB,Michael,Michael Penix Jr.,Penix Jr.,11.699999491373697,3,6500,WAS@ATL,ATL,WAS,,,,,,QB
120838-168356,QB,Cam,Cam Ward,Ward,8.413333257039389,3,6400,TEN@HOU,TEN,HOU,,,,,,QB
120838-91598,RB,D'Andre,D'Andre Swift,Swift,9.90000025431315,3,6400,CHI@LV,CHI,LV,Q,Hip,,,,RB/FLEX
120838-56018,WR,Deebo,Deebo Samuel Sr.,Samuel Sr.,12.300000508626303,3,6400,WAS@ATL,WAS,ATL,,,,,,WR/FLEX
120838-111557,QB,Spencer,Spencer Rattler,Rattler,15.286666870117188,3,6400,NO@BUF,NO,BUF,,,,,,QB
120838-88431,QB,Tyler,Tyler Shough,Shough,0,1,6300,NO@BUF,NO,BUF,,,,,,QB
120838-102796,WR,Ricky,Ricky Pearsall,Pearsall,13.90000025431315,3,6300,JAC@SF,SF,JAC,Q,Knee,,,,WR/FLEX
120838-151966,QB,Jaxson,Jaxson Dart,Dart,0,2,6300,LAC@NYG,NYG,LAC,,,,,,QB
120838-112057,RB,Jaylen,Jaylen Warren,Warren,12.966667175292969,3,6300,MIN@PIT,PIT,MIN,NA,Knee,,,,RB/FLEX
120838-169410,RB,Quinshon,Quinshon Judkins,Judkins,12.300000190734863,2,6300,CLE@DET,CLE,DET,,,,,,RB/FLEX
120838-22038,QB,Kirk,Kirk Cousins,Cousins,1.159999966621399,1,6300,WAS@ATL,ATL,WAS,,,,,,QB
120838-63043,WR,DJ,DJ Moore,Moore,8.333333333333334,3,6300,CHI@LV,CHI,LV,,,,,,WR/FLEX
120838-63759,RB,Tony,Tony Pollard,Pollard,9.833333333333334,3,6200,TEN@HOU,TEN,HOU,,,,,,RB/FLEX
120838-89680,TE,Jake,Jake Ferguson,Ferguson,10.59999974568685,3,6200,GB@DAL,DAL,GB,,,,,,TE/FLEX
120838-120639,WR,Quentin,Quentin Johnston,Johnston,16.233333587646484,3,6200,LAC@NYG,LAC,NYG,,,,,,WR/FLEX
120838-56250,WR,Terry,Terry McLaurin,McLaurin,6.633333206176758,3,6200,WAS@ATL,WAS,ATL,O,Quadriceps,,,,WR/FLEX
120838-63634,WR,Jakobi,Jakobi Meyers,Meyers,10.433333079020182,3,6100,CHI@LV,LV,CHI,,,,,,WR/FLEX
120838-33076,TE,Travis,Travis Kelce,Kelce,8.133333206176758,3,6100,BAL@KC,KC,BAL,,,,,,TE/FLEX
120838-55635,WR,Chris,Chris Godwin Jr.,Godwin Jr.,16.971429007393972,7,6100,PHI@TB,TB,PHI,Q,Ankle,,,,WR/FLEX
120838-160303,TE,Tucker,Tucker Kraft,Kraft,12.566666920979818,3,6100,GB@DAL,GB,DAL,,,,,,TE/FLEX
120838-86081,QB,Emory,Emory Jones,Jones,,0,6000,WAS@ATL,ATL,WAS,IR,Concussion,,,,QB
120838-152646,QB,Kyle,Kyle McCord,McCord,,0,6000,PHI@TB,PHI,TB,,,,,,QB
120838-52342,QB,Will,Will Grier,Grier,,0,6000,GB@DAL,DAL,GB,,,,,,QB
120838-104576,QB,Sam,Sam Howell,Howell,0.07999999821186066,2,6000,PHI@TB,PHI,TB,,,,,,QB
120838-94370,WR,Romeo,Romeo Doubs,Doubs,7.200000127156575,3,6000,GB@DAL,GB,DAL,,,,,,WR/FLEX
120838-103591,QB,Graham,Graham Mertz,Mertz,,0,6000,TEN@HOU,HOU,TEN,,,,,,QB
120838-160938,QB,Quinn,Quinn Ewers,Ewers,,0,6000,NYJ@MIA,MIA,NYJ,,,,,,QB
120838-105646,TE,Sam,Sam LaPorta,LaPorta,6.766666412353516,3,6000,CLE@DET,DET,CLE,,,,,,TE/FLEX
120838-86200,QB,Sean,Sean Clifford,Clifford,,0,6000,CIN@DEN,CIN,DEN,,,,,,QB
120838-129210,WR,Jordan,Jordan Addison,Addison,11.962499618530273,16,6000,MIN@PIT,MIN,PIT,,,,,,WR/FLEX
120838-103619,WR,Tre,Tre Tucker,Tucker,18.566666920979817,3,6000,CHI@LV,LV,CHI,,,,,,WR/FLEX
120838-149696,QB,Trey,Trey Lance,Lance,2.7479999542236326,5,6000,LAC@NYG,LAC,NYG,,,,,,QB
120838-93382,QB,Aidan,Aidan O'Connell,O'Connell,11.164444817437065,9,6000,CHI@LV,LV,CHI,IR,Wrist,,,,QB
120838-69833,QB,Shane,Shane Buechele,Buechele,,0,6000,NO@BUF,BUF,NO,,,,,,QB
120838-45259,QB,Logan,Logan Woodside,Woodside,,0,6000,MIN@PIT,PIT,MIN,,,,,,QB
120838-152787,QB,Seth,Seth Henigan,Henigan,,0,6000,JAC@SF,JAC,SF,,,,,,QB
120838-86243,QB,Will,Will Levis,Levis,10.995000203450521,12,6000,TEN@HOU,TEN,HOU,IR,Shoulder,,,,QB
120838-91390,QB,Joe,Joe Milton III,Milton III,0.6399999856948853,1,6000,GB@DAL,DAL,GB,,,,,,QB
120838-86278,QB,Desmond,Desmond Ridder,Ridder,4.784000015258789,5,6000,MIN@PIT,MIN,PIT,NA,Coach's decision,,,,QB
120838-24849,QB,Jameis,Jameis Winston,Winston,13.830909035422586,11,6000,LAC@NYG,NYG,LAC,,,,,,QB
120838-103698,QB,Dillon,Dillon Gabriel,Gabriel,4.760000228881836,1,6000,CLE@DET,CLE,DET,,,,,,QB
120838-129315,QB,Anthony,Anthony Richardson Sr.,Richardson Sr.,-0.10000000149011612,1,6000,IND@LAR,IND,LAR,,,,,,QB
120838-90406,QB,Zach,Zach Wilson,Wilson,1.5800000429153442,1,6000,NYJ@MIA,MIA,NYJ,,,,,,QB
120838-120105,QB,Will,Will Howard,Howard,,0,6000,MIN@PIT,PIT,MIN,IR,Hand,,,,QB
120838-53562,RB,Nick,Nick Chubb,Chubb,8.566666920979818,3,6000,TEN@HOU,HOU,TEN,,,,,,RB/FLEX
120838-54604,QB,Jimmy,Jimmy Garoppolo,Garoppolo,11.930000305175781,2,6000,IND@LAR,LAR,IND,,,,,,QB
120838-27986,QB,C.J.,C.J. Beathard,Beathard,,0,6000,CLE@DET,DET,CLE,,,,,,QB
120838-61798,QB,Gardner,Gardner Minshew II,Minshew II,10.631999969482422,10,6000,BAL@KC,KC,BAL,,,,,,QB
120838-92560,QB,Sam,Sam Ehlinger,Ehlinger,0,1,6000,CIN@DEN,DEN,CIN,,,,,,QB
120838-103824,QB,Easton,Easton Stick,Stick,,0,6000,WAS@ATL,ATL,WAS,,,,,,QB
120838-70051,QB,Tyler,Tyler Huntley,Huntley,12.731999969482422,5,6000,BAL@KC,BAL,KC,,,,,,QB
120838-110000,QB,Connor,Connor Bazelak,Bazelak,,0,6000,PHI@TB,TB,PHI,,,,,,QB
120838-185776,QB,Tyson,Tyson Bagent,Bagent,1.7799999713897705,1,6000,CHI@LV,CHI,LV,,,,,,QB
120838-91583,QB,Stetson,Stetson Bennett IV,Bennett IV,0,1,6000,IND@LAR,LAR,IND,,,,,,QB
120838-31170,QB,Brandon,Brandon Allen,Allen,2.7866665522257485,3,6000,TEN@HOU,TEN,HOU,,,,,,QB
120838-22994,QB,Case,Case Keenum,Keenum,,0,6000,CHI@LV,CHI,LV,,,,,,QB
120838-40407,QB,Joshua,Joshua Dobbs,Dobbs,11.946666717529297,3,6000,CAR@NE,NE,CAR,,,,,,QB
120838-53729,QB,Mason,Mason Rudolph,Rudolph,0.47999998927116394,1,6000,MIN@PIT,PIT,MIN,,,,,,QB
120838-33259,QB,Teddy,Teddy Bridgewater,Bridgewater,0.11999999731779099,1,6000,PHI@TB,TB,PHI,,,,,,QB
120838-134655,QB,Hunter,Hunter Dekkers,Dekkers,,0,6000,NO@BUF,NO,BUF,O,Undisclosed,,,,QB
120838-89607,QB,Tanner,Tanner McKee,McKee,7.204999923706055,4,6000,PHI@TB,PHI,TB,,,,,,QB
120838-60947,QB,Jarrett,Jarrett Stidham,Stidham,0.16666666666666666,3,6000,CIN@DEN,DEN,CIN,,,,,,QB
120838-89628,QB,Davis,Davis Mills,Mills,1.596666653951009,6,6000,TEN@HOU,HOU,TEN,,,,,,QB
120838-94748,QB,Tommy,Tommy DeVito,DeVito,6.739999771118164,2,6000,CAR@NE,NE,CAR,,,,,,QB
120838-87594,QB,Sam,Sam Hartman,Hartman,,0,6000,WAS@ATL,WAS,ATL,,,,,,QB
120838-30253,QB,Jeff,Jeff Driskel,Driskel,0,1,6000,CHI@LV,LV,CHI,,,,,,QB
120838-208467,QB,Cam,Cam Miller,Miller,,0,6000,CHI@LV,LV,CHI,,,,,,QB
120838-40534,QB,Mike,Mike White,White,1.1200000047683716,1,6000,CIN@DEN,CIN,DEN,,,,,,QB
120838-41562,QB,Nick,Nick Mullens,Mullens,0.33000001311302185,4,6000,JAC@SF,JAC,SF,,,,,,QB
120838-87691,QB,Malik,Malik Willis,Willis,7.399999891008649,7,6000,GB@DAL,GB,DAL,,,,,,QB
120838-44715,QB,Cooper,Cooper Rush,Rush,-0.4000000059604645,1,6000,BAL@KC,BAL,KC,,,,,,QB
120838-69294,QB,Skylar,Skylar Thompson,Thompson,2.626666704813639,3,6000,MIN@PIT,PIT,MIN,IR,Hamstring,,,,QB
120838-73398,QB,Chris,Chris Oladokun,Oladokun,0.25,2,6000,BAL@KC,KC,BAL,,,,,,QB
120838-90813,QB,Clayton,Clayton Tune,Tune,-0.3466666539510091,6,6000,GB@DAL,GB,DAL,,,,,,QB
120838-139985,QB,Bailey,Bailey Zappe,Zappe,4.5,2,6000,CLE@DET,CLE,DET,,,,,,QB
120838-87770,WR,Chris,Chris Olave,Olave,9.333333333333334,3,6000,NO@BUF,NO,BUF,,,,,,WR/FLEX
120838-38628,QB,Mitchell,Mitchell Trubisky,Trubisky,0.9800000190734863,1,6000,NO@BUF,BUF,NO,,,,,,QB
120838-61157,QB,Brett,Brett Rypien,Rypien,0,1,6000,CIN@DEN,CIN,DEN,,,,,,QB
120838-86793,QB,Jake,Jake Haener,Haener,1.7799999713897705,8,6000,NO@BUF,NO,BUF,,,,,,QB
120838-28434,QB,Trevor,Trevor Siemian,Siemian,,0,6000,TEN@HOU,TEN,HOU,,,,,,QB
