name,position,team,salary,consensus,p90,ceiling_value_p90
devonta smith,WR,PHI,6900,12.99,20.44,2.962
george pickens,WR,DAL,7500,12.56,17.81,2.374
drake london,WR,ATL,8400,14.16,18.85,2.244
ladd mcconkey,WR,LAC,7500,12.92,17.41,2.322
romeo doubs,WR,GB,6300,11.07,16.97,2.694
tre tucker,WR,LV,5800,10.31,20.51,3.537
puka nacua,WR,LAR,9500,15.59,22.18,2.335
ceedee lamb,WR,DAL,9200,15.93,22.12,2.405
amonra st brown,WR,DET,9100,15.89,21.72,2.386
emeka egbuka,WR,TB,7900,14.13,22.07,2.793
khalil shakir,WR,BUF,6100,11.12,18.55,3.041
davante adams,WR,LAR,8000,12.68,18.15,2.269
jauan jennings,WR,SF,6200,11.65,17.51,2.825
nico collins,WR,HOU,8300,13.48,17.67,2.129
zay flowers,WR,BAL,7100,11.86,16.77,2.362
tetairoa mcmillan,WR,CAR,6200,11.36,18.6,3.001
parker washington,WR,JAC,5900,10.03,16.53,2.801
tee higgins,WR,CIN,7300,11.77,20.47,2.804
justin jefferson,WR,MIN,8600,15.43,21.36,2.484
jameson williams,WR,DET,6700,10.81,16.33,2.437
rome odunze,WR,CHI,7200,12.19,17.75,2.466
michael wilson,WR,ARI,5500,9.59,19.37,3.522
dk metcalf,WR,PIT,7400,11.29,18.78,2.538
quentin johnston,WR,LAC,6600,9.96,15.08,2.284
tez johnson,WR,TB,5900,9.11,19.6,3.323
troy franklin,WR,DEN,6100,10.61,20.7,3.394
jordan addison,WR,MIN,6900,10.9,18.45,2.674
jerry jeudy,WR,CLE,5700,9.68,17.15,3.009
aj brown,WR,PHI,8300,12.29,17.65,2.127
christian watson,WR,GB,5800,8.96,14.46,2.493
ricky pearsall,WR,SF,5700,8.68,16.58,2.909
dj moore,WR,CHI,6000,9.41,16.54,2.757
tyler lockett,WR,LV,5000,7.67,19.44,3.889
courtland sutton,WR,DEN,6800,10.88,20.61,3.031
xavier worthy,WR,KC,6400,10.14,18.46,2.884
cooper kupp,WR,SEA,5300,7.9,16.29,3.073
jakobi meyers,WR,JAC,5900,8.93,16.34,2.77
rashid shaheed,WR,SEA,5600,8.46,16.42,2.932
darnell mooney,WR,ATL,5600,8.68,14.24,2.543
chimere dike,WR,TEN,5300,5.94,9.87,1.862
keenan allen,WR,LAC,7000,9.65,14.99,2.141
calvin austin,WR,PIT,5700,9.52,17.38,3.048
olamide zaccheaus,WR,CHI,5300,7.47,16.19,3.054
jalen coker,WR,CAR,4800,6.31,14.8,3.084
elic ayomanor,WR,TEN,5400,7.54,16.28,3.015
cedric tillman,WR,CLE,4700,6.8,15.72,3.344
greg dortch,WR,ARI,5200,8.66,19.32,3.715
luther burden,WR,CHI,4800,5.42,11.39,2.373
jalen nailor,WR,MIN,5600,7.61,16.32,2.914
jayden higgins,WR,HOU,5400,7.75,14.0,2.593
xavier legette,WR,CAR,4700,5.5,11.88,2.527
deandre hopkins,WR,BAL,5000,6.05,9.23,1.847
calvin ridley,WR,TEN,5200,6.57,11.51,2.214
christian kirk,WR,HOU,5300,5.45,8.82,1.665
dyami brown,WR,JAC,4700,4.12,6.4,1.362
andrei iosivas,WR,CIN,5100,6.51,19.9,3.901
joshua palmer,WR,BUF,4500,6.68,16.26,3.614
matthew golden,WR,GB,5600,6.4,10.65,1.903
kendrick bourne,WR,SF,5000,3.71,8.31,1.662
marvin mims,WR,DEN,5000,6.57,19.85,3.969
jaylin noel,WR,HOU,4900,3.45,5.33,1.088
roman wilson,WR,PIT,4900,6.15,14.94,3.049
pat bryant,WR,DEN,4800,4.21,17.58,3.662
sterling shepard,WR,TB,5500,6.8,19.6,3.564
ryan flournoy,WR,DAL,4500,3.48,6.26,1.392
dontayvion wicks,WR,GB,5500,5.88,11.88,2.16
keon coleman,WR,BUF,5400,3.74,8.34,1.545
xavier hutchinson,WR,HOU,5100,3.6,7.77,1.523
kalif raymond,WR,DET,4500,2.29,5.25,1.167
donte thornton,WR,LV,4500,4.31,6.84,1.521
kavontae turpin,WR,DAL,5300,4.65,10.68,2.015
tre harris,WR,LAC,5100,3.87,4.9,0.96
jack bech,WR,LV,4800,2.37,8.93,1.86
tim patrick,WR,JAC,4200,2.25,6.9,1.642
elijah moore,WR,BUF,4700,2.94,6.69,1.423
juju smithschuster,WR,KC,4900,2.41,6.67,1.362
