Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
122899-86243,QB,Will,Will Levis,Levis,10.995000203450521,12,6000,HOU@TEN,TEN,HOU,IR,Shoulder,,,,QB
122899-91390,QB,Joe,Joe Milton III,Milton III,3.4800000190734863,2,6000,DAL@LV,DAL,LV,,,,,,QB
122899-120105,QB,Will,Will Howard,Howard,,0,6000,CIN@PIT,PIT,CIN,,,,,,QB
122899-54604,QB,Jimmy,Jimmy Garoppolo,Garoppolo,-0.30000001192092896,1,6000,SEA@LAR,LAR,SEA,,,,,,QB
122899-27986,QB,C.J.,C.J. Beathard,Beathard,,0,6000,DET@PHI,DET,PHI,,,,,,QB
122899-61798,QB,Gardner,Gardner Minshew II,Minshew II,-0.30000001192092896,2,6000,KC@DEN,KC,DEN,,,,,,QB
122899-89455,WR,Jayden,Jayden Reed,Reed,12,1,6000,GB@NYG,GB,NYG,IR,Collarbone,,,,WR/FLEX
122899-92560,QB,Sam,Sam Ehlinger,Ehlinger,0,1,6000,KC@DEN,DEN,KC,,,,,,QB
122899-103824,QB,Easton,Easton Stick,Stick,,0,6000,CAR@ATL,ATL,CAR,,,,,,QB
122899-70051,QB,Tyler,Tyler Huntley,Huntley,11.680000305175781,2,6000,BAL@CLE,BAL,CLE,,,,,,QB
122899-60840,QB,Jake,Jake Browning,Browning,14.045000076293945,4,6000,CIN@PIT,CIN,PIT,,,,,,QB
122899-110000,QB,Connor,Connor Bazelak,Bazelak,,0,6000,TB@BUF,TB,BUF,,,,,,QB
122899-185776,QB,Tyson,Tyson Bagent,Bagent,1.2899999618530273,2,6000,CHI@MIN,CHI,MIN,,,,,,QB
122899-91583,QB,Stetson,Stetson Bennett IV,Bennett IV,0,1,6000,SEA@LAR,LAR,SEA,,,,,,QB
122899-31170,QB,Brandon,Brandon Allen,Allen,2.7866665522257485,3,6000,HOU@TEN,TEN,HOU,,,,,,QB
122899-22994,QB,Case,Case Keenum,Keenum,,0,6000,CHI@MIN,CHI,MIN,,,,,,QB
122899-33259,QB,Teddy,Teddy Bridgewater,Bridgewater,-0.10000000149011612,1,6000,TB@BUF,TB,BUF,,,,,,QB
