name,position,team,game,salary,value,ceilingValue,consensus,p90,fpProjPts,espnScoreProjection,espnLowScore,espnHighScore,espnOutsideProjection,espnSimulationProjection,uncertainty,projTeamPts,projOppPts,tdOdds,tdProbability,espnId,injury
aj barner,TE,SEA,ARI@SEA,5900,1,1.805,5.35,10.65,5.9,3.29,1.59,8.77,6.69,3.66,0.538,25.75,18.75,+1200,7.69,4576297,Q: Calf
pat freiermuth,TE,PIT,PIT@LAC,5200,1,2.098,5.52,10.91,5.2,6.04,2.33,9.41,5.24,6.21,0.532,21.25,24.25,+2000,4.76,4361411,: 
tyler higbee,TE,LAR,LAR@SF,4800,1,2.258,4.97,10.84,4.8,4.05,1.67,9.52,6.1,3.95,0.608,27.50,22.00,+1700,5.56,2573401,: 
jatavion sanders,TE,CAR,NO@CAR,4700,0.98,1.179,4.05,5.54,4.6,3.44,2.56,4.33,4.05,3.57,0.244,22.00,15.50,0,0,4431588,: 
darnell washington,TE,PIT,PIT@LAC,4900,0.78,1.996,3.98,9.78,3.8,4.34,1.69,9.75,3.94,4.04,0.701,21.25,24.25,+2200,4.35,4430802,: 
taysom hill,TE,NO,NO@CAR,4900,0.73,1.769,3.68,8.67,3.6,3.68,-1.01,8.39,3.69,3.83,0.669,15.50,22.00,0,0,2468609,: 
terrance ferguson,TE,LAR,LAR@SF,4700,0.72,1.432,2.77,6.73,3.4,2.19,1.48,7.79,2.19,3.28,0.693,27.50,22.00,+3000,3.23,4570037,: 
austin hooper,TE,NE,NE@TB,4500,0.71,1.38,2.58,6.21,3.2,2.33,1.49,7.91,1.71,3.33,0.686,25.00,23.50,0,0,3043275,: 
dawson knox,TE,BUF,BUF@MIA,4600,0.7,1.722,2.71,7.92,3.2,2.25,1.48,7.84,2.16,3.3,0.836,25.50,27.00,0,0,3930086,: 
johnny mundt,TE,JAC,JAC@HOU,4300,0.7,1.107,3,4.76,3,,,,,,0.36,,,0,0,3052096,: 
elijah higgins,TE,ARI,ARI@SEA,4500,0.67,1.118,3,5.03,3,,,,,,0.404,18.75,25.75,+4500,2.17,4426844,: 
tommy tremble,TE,CAR,NO@CAR,4500,0.67,1.082,2.51,4.87,3,2.08,1.46,7.7,1.88,3.24,0.516,22.00,15.50,0,0,4372780,: 
davis allen,TE,LAR,LAR@SF,4400,0.64,1.02,2.8,4.49,2.8,,,,,,0.369,27.50,22.00,+3000,3.23,4426553,: 
charlie kolar,TE,BAL,BAL@MIN,4100,0.61,0.966,2.5,3.96,2.5,,,,,,0.36,23.00,25.50,0,0,4241263,: 
cole kmet,TE,CHI,NYG@CHI,4800,0.6,1.252,2.5,6.01,2.9,1.8,1.41,7.37,2.14,3.11,0.685,24.50,21.00,0,0,4258595,: 
daniel bellinger,TE,NYG,NYG@CHI,4600,0.57,0.941,2.6,4.33,2.6,,,,,,0.398,21.00,24.50,0,0,4361516,: 
jackson hawes,TE,BUF,BUF@MIA,4400,0.55,0.936,2.4,4.12,2.4,,,,,,0.421,25.50,27.00,0,0,4573699,: 
brock wright,TE,DET,DET@WAS,4300,0.49,0.76,2.1,3.27,2.1,,,,,,0.345,29.00,20.50,+3500,2.78,4242392,: 
john fitzpatrick,TE,GB,PHI@GB,4800,0.44,0.7,2.1,3.36,2.1,,,,,,0.367,23.50,22.00,+3500,2.78,4379401,: 
john bates,TE,WAS,DET@WAS,4000,0.42,0.713,1.7,2.85,1.7,,,,,,0.403,20.50,29.00,+6000,1.64,4048228,: 
colby parkinson,TE,LAR,LAR@SF,4500,0.4,0.64,1.8,2.88,1.8,,,,,,0.367,27.50,22.00,+4000,2.44,4242557,: 
jeremy ruckert,TE,NYJ,CLE@NYJ,4200,0.4,0.695,1.7,2.92,1.7,,,,,,0.421,27.50,23.00,0,0,4361372,: 
mitchell evans,TE,CAR,NO@CAR,4200,0.4,0.6,1.7,2.52,1.7,,,,,,0.308,22.00,15.50,0,0,4683243,: 
grant calcaterra,TE,PHI,PHI@GB,4100,0.39,0.622,1.6,2.55,1.6,,,,,,0.365,22.00,23.50,+5000,1.96,4241374,: 
harrison bryant,TE,HOU,JAC@HOU,4300,0.37,0.579,1.6,2.49,1.6,,,,,,0.346,14.00,23.50,0,0,4040774,Q: Shoulder
quintin morris,TE,JAC,JAC@HOU,4000,0.35,0.555,1.4,2.22,1.4,,,,,,0.36,,,0,0,4244049,: 
foster moreau,TE,NO,NO@CAR,4100,0.34,0.532,1.4,2.18,1.4,,,,,,0.346,15.50,22.00,0,0,3843945,: 
ben sinnott,TE,WAS,DET@WAS,4400,0.34,0.57,1.5,2.51,1.5,,,,,,0.401,20.50,29.00,+13000,0.76,4690923,: 
luke farrell,TE,SF,LAR@SF,4100,0.34,0.573,1.4,2.35,1.4,,,,,,0.403,22.00,27.50,+6000,1.64,4040612,: 
jake tonges,TE,SF,LAR@SF,4500,0.33,0.56,1.5,2.52,1.5,,,,,,0.406,22.00,27.50,+4000,2.44,4259147,: 
tucker fisk,TE,LAC,PIT@LAC,4000,0.33,0.52,1.3,2.08,1.3,,,,,,0.366,24.25,21.25,+4500,2.17,4242558,: 
josh whyle,TE,GB,PHI@GB,4000,0.33,0.517,1.3,2.07,1.3,,,,,,0.363,23.50,22.00,+9000,1.10,4360086,: 
connor heyward,TE,PIT,PIT@LAC,4100,0.27,0.427,1.1,1.75,1.1,,,,,,0.364,21.25,24.25,+6000,1.64,4241961,: 
blake whiteheart,TE,CLE,CLE@NYJ,4100,0.24,0.439,1,1.8,1,,,,,,0.46,23.00,27.50,0,0,4362018,: 
tyler conklin,TE,LAC,PIT@LAC,4400,0.23,0.361,1,1.59,1,,,,,,0.363,24.25,21.25,+9000,1.10,3915486,: 
payne durham,TE,TB,NE@TB,4300,0.23,0.37,1,1.59,1,,,,,,0.36,23.50,25.00,0,0,4372505,: 
chris manhertz,TE,NYG,NYG@CHI,4000,0.23,0.375,0.9,1.5,0.9,,,,,,0.398,21.00,24.50,0,0,2531358,: 
kylen granson,TE,PHI,PHI@GB,4000,0.2,0.318,0.8,1.27,0.8,,,,,,0.362,22.00,23.50,+10000,0.99,4039160,: 
thomas fidone,TE,NYG,NYG@CHI,4000,0.2,0.333,0.8,1.33,0.8,,,,,,0.398,21.00,24.50,0,0,4590292,: 
hayden rucci,TE,MIA,BUF@MIA,4000,0.17,0.3,0.7,1.2,0.7,,,,,,0.421,27.00,25.50,0,0,4428396,: 
durham smythe,TE,CHI,NYG@CHI,4000,0.17,0.278,0.7,1.11,0.7,,,,,,0.36,24.50,21.00,0,0,3052897,Q: Calf
robbie ouzts,TE,SEA,ARI@SEA,4000,0.17,0.278,0.7,1.11,0.7,,,,,,0.363,25.75,18.75,+9000,1.10,4691688,: 
nick vannett,TE,MIN,BAL@MIN,4000,0.17,0.278,0.7,1.11,0.7,,,,,,0.36,25.50,23.00,0,0,2576399,: 
tanner conner,TE,MIA,BUF@MIA,4200,0.17,0.286,0.7,1.2,0.7,,,,,,0.421,27.00,25.50,0,0,4047422,: 
nick kallerup,TE,SEA,ARI@SEA,4000,0.15,0.24,0.6,0.96,0.6,,,,,,0.364,25.75,18.75,+6500,1.52,4569547,: 
ross dwelley,TE,DET,DET@WAS,4000,0.15,0.233,0.6,0.93,0.6,,,,,,0.341,29.00,20.50,+9000,1.10,3120303,: 
jack westover,TE,NE,NE@TB,4000,0.13,0.198,0.5,0.79,0.5,,,,,,0.36,25.00,23.50,0,0,4361100,: 
josiah deguara,TE,ARI,ARI@SEA,4000,0.13,0.21,0.5,0.84,0.5,,,,,,0.401,18.75,25.75,+9000,1.10,3914151,: 
devin culp,TE,TB,NE@TB,4000,0.13,0.198,0.5,0.79,0.5,,,,,,0.36,23.50,25.00,0,0,4361112,: 
andrew beck,TE,NYJ,CLE@NYJ,4000,0.13,0.215,0.5,0.86,0.5,,,,,,0.421,27.50,23.00,0,0,3125107,: 
stone smartt,TE,NYJ,CLE@NYJ,4000,0.13,0.215,0.5,0.86,0.5,,,,,,0.421,27.50,23.00,0,0,4250764,: 
ben yurosek,TE,MIN,BAL@MIN,4300,0.12,0.184,0.5,0.79,0.5,,,,,,0.36,25.50,23.00,0,0,4433959,: 
