name,position,team,game,salary,value,ceilingValue,consensus,p90,p10,mu,sigma_lower,sigma_upper,floorVariance,ceilingVariance,varianceSource,fpProjPts,espnScoreProjection,espnLowScore,espnHighScore,espnOutsideProjection,espnSimulationProjection,projTeamPts,projOppPts,tdOdds,tdProbability,espnId,injury
tyrell shavers,WR,BUF,TB@BUF,4200,0.5,1.145,2.1,4.81,1.33,0.7419373447293773,0.35814616959421747,0.6472323340917994,0.3688407230803515,1.2304197946060706,FALLBACK,2.1,,,,,,26.25,20.25,+2500,3.85,4241476,: 
demarcus robinson,WR,SF,SF@ARI,4800,0.54,1.142,2.04,5.48,0.82,0.712949807856125,0.7149854570890978,0.7707496464836631,0.6029411764705882,1.6372549019607843,ESPN,2.6,1.67,0.81,5.38,1.7,1.98,26.00,22.50,+4500,2.17,3043116,: 
curtis samuel,WR,BUF,TB@BUF,4600,0.5,1.137,2.3,5.23,1.45,0.832909122935104,0.3584093797077041,0.6413760675194724,0.3688407230803515,1.2304197946060706,FALLBACK,2.3,,,,,,26.25,20.25,+3500,2.78,3121427,: 
bhayshul tuten,RB,JAC,LAC@JAC,4900,0.94,1.131,4.1,5.54,1.64,1.410986973710262,0.7149854570890979,0.23531600365911945,0.7317073170731707,0.3,ESPN,4.6,3.86,1.1,4.9,4.2,3.12,,,+1300,7.14,4882093,: 
raheem mostert,RB,LV,DAL@LV,4600,0.59,1.126,3.04,5.18,1.22,1.1118575154181303,0.7149854570890978,0.41617000938044185,0.6743421052631579,0.6776315789473683,ESPN,2.7,3.69,0.99,5.1,2.99,3.17,23.00,26.50,+4000,2.44,2576414,: 
jaylin noel,WR,HOU,HOU@TEN,4900,0.94,1.088,3.45,5.33,1.38,1.2383742310432684,0.7149854570890978,0.33970580878589435,1,0.6956521739130432,ESPN,4.6,2.82,-0.16,5.85,2.85,2.96,21.50,16.00,+2800,3.45,4586312,: 
brian robinson,RB,SF,SF@ARI,5100,1.04,1.086,3.98,5.54,1.59,1.3812818192963463,0.7149854570890978,0.25808278083682806,0.8768844221105528,0.3,ESPN,5.3,2.51,0.49,4.85,4,2.77,26.00,22.50,+2200,4.35,4241474,: 
jalin hyatt,WR,NYG,GB@NYG,4200,0.48,1.069,2,4.49,1.33,0.6931471805599453,0.32021572840874146,0.6315321312438357,0.3688407230803515,1.2304197946060706,FALLBACK,2,,,,,,17.25,24.25,+5500,1.79,4692590,: 
drew sample,TE,CIN,CIN@PIT,4200,0.43,1.033,1.8,4.34,0.93,0.5877866649021191,0.5192575763153127,0.6867250712750325,0.5056766934100616,1.0185391151935956,FALLBACK,1.8,,,,,,21.50,27.00,+7500,1.32,3127310,: 
gabe davis,WR,BUF,TB@BUF,4800,0.46,1.023,2.2,4.91,1.39,0.7884573603642703,0.3590936493116646,0.6259520397190135,0.3688407230803515,1.2304197946060706,FALLBACK,2.2,,,,,,26.25,20.25,0,0,4243537,: 
