Score,Total Projected Pts,Total Cost,Proj Pts Weight,QB,SP1,SP2,SP3,SP4,SP5,SP6,SP7,D
9.52303,122.7,60000,0.67,caleb williams,rico dowdle,josh jacobs,jacory croskeymerritt,stefon diggs,puka nacua,keenan allen,sam laporta,browns
9.51975,122.9,59900,0.67,jayden daniels,rico dowdle,josh jacobs,jacory croskeymerritt,stefon diggs,drake london,george pickens,sam laporta,browns
9.51967,122.0,60000,0.67,jayden daniels,rico dowdle,josh jacobs,jacory croskeymerritt,stefon diggs,puka nacua,tetairoa mcmillan,michael mayer,browns
9.51903,122.5,60000,0.67,drake maye,rico dowdle,jacory croskeymerritt,javonte williams,stefon diggs,drake london,puka nacua,zach ertz,browns
9.51557,121.5,59700,0.67,jayden daniels,rico dowdle,josh jacobs,jacory croskeymerritt,stefon diggs,puka nacua,keenan allen,michael mayer,browns
9.51394,120.6,60000,0.67,jayden daniels,rico dowdle,rachaad white,jacory croskeymerritt,puka nacua,keenan allen,ladd mcconkey,travis kelce,browns
9.51287,123.1,60000,0.67,caleb williams,rico dowdle,josh jacobs,javonte williams,stefon diggs,george pickens,keenan allen,trey mcbride,browns
9.51177,122.6,59800,0.67,caleb williams,rico dowdle,jacory croskeymerritt,javonte williams,stefon diggs,puka nacua,keenan allen,trey mcbride,browns
9.51045,121.8,59800,0.67,drake maye,rico dowdle,josh jacobs,jacory croskeymerritt,stefon diggs,puka nacua,keenan allen,zach ertz,browns
9.50958,121.3,59900,0.67,drake maye,rico dowdle,jacory croskeymerritt,javonte williams,stefon diggs,puka nacua,keenan allen,travis kelce,browns
9.50917,121.7,59900,0.67,patrick mahomes,christian mccaffrey,jacory croskeymerritt,javonte williams,keenan allen,tetairoa mcmillan,ladd mcconkey,sam laporta,browns
9.50849,122.8,59700,0.67,jayden daniels,rico dowdle,jacory croskeymerritt,javonte williams,stefon diggs,drake london,george pickens,trey mcbride,browns
9.50838,123.1,60000,0.67,caleb williams,rico dowdle,rachaad white,jacory croskeymerritt,stefon diggs,puka nacua,george pickens,trey mcbride,browns
9.50798,121.5,59800,0.67,jayden daniels,rico dowdle,josh jacobs,jacory croskeymerritt,stefon diggs,puka nacua,ladd mcconkey,michael mayer,browns
9.50418,122.6,59900,0.67,caleb williams,rico dowdle,jacory croskeymerritt,javonte williams,stefon diggs,puka nacua,ladd mcconkey,trey mcbride,browns
9.50307,123.3,59900,0.67,caleb williams,rico dowdle,josh jacobs,javonte williams,stefon diggs,drake london,keenan allen,trey mcbride,browns
9.50286,121.8,59900,0.67,drake maye,rico dowdle,josh jacobs,jacory croskeymerritt,stefon diggs,puka nacua,ladd mcconkey,zach ertz,browns
9.50199,121.3,60000,0.67,drake maye,rico dowdle,jacory croskeymerritt,javonte williams,stefon diggs,puka nacua,ladd mcconkey,travis kelce,browns
9.50088,122.0,60000,0.67,drake maye,rico dowdle,josh jacobs,javonte williams,stefon diggs,drake london,keenan allen,travis kelce,browns
9.49858,123.3,59900,0.67,caleb williams,rico dowdle,rachaad white,jacory croskeymerritt,stefon diggs,drake london,puka nacua,trey mcbride,browns
9.49639,122.0,60000,0.67,drake maye,rico dowdle,rachaad white,jacory croskeymerritt,stefon diggs,drake london,puka nacua,travis kelce,browns
9.49549,121.3,60000,0.67,caleb williams,rico dowdle,jacory croskeymerritt,javonte williams,puka nacua,george pickens,keenan allen,zach ertz,browns
9.49548,123.3,60000,0.67,caleb williams,rico dowdle,josh jacobs,javonte williams,stefon diggs,drake london,ladd mcconkey,trey mcbride,browns
9.49408,122.4,59900,0.67,caleb williams,rico dowdle,josh jacobs,jacory croskeymerritt,drake london,george pickens,keenan allen,trey mcbride,browns
9.49189,121.1,60000,0.67,drake maye,rico dowdle,josh jacobs,jacory croskeymerritt,drake london,george pickens,keenan allen,travis kelce,browns
9.4914,121.1,60000,0.67,drake maye,rico dowdle,josh jacobs,jacory croskeymerritt,keenan allen,ladd mcconkey,emeka egbuka,trey mcbride,browns
9.49035,122.0,59900,0.67,caleb williams,rico dowdle,josh jacobs,jacory croskeymerritt,stefon diggs,george pickens,keenan allen,trey mcbride,packers
9.48959,122.0,60000,0.67,drake maye,rico dowdle,rachaad white,jacory croskeymerritt,puka nacua,keenan allen,tetairoa mcmillan,trey mcbride,browns
