QB,RB1,RB2,WR1,WR2,WR3,TE,FLEX,DEF,lineup_id,player_ids,tier,temperature,milp_projection,total_salary,mean,median,p10,p90,std,skewness,fitness,lineupid
drake maye,devon achane,christian mccaffrey,tetairoa mcmillan,mack hollins,wandale robinson,evan engram,treveyon henderson,chargers,mutated_614714,"drake maye,chargers,tetairoa mcmillan,mack hollins,wandale robinson,devon achane,christian mccaffrey,treveyon henderson,evan engram",,,,,133.33357293896836,131.23199427704748,108.03123042192007,160.47771618701958,21.848979800197927,0.09618658084446782,131.23199427704748,
drake maye,devon achane,christian mccaffrey,tetairoa mcmillan,wandale robinson,troy franklin,brenton strange,rj harvey,titans,,"drake maye,titans,tetairoa mcmillan,wandale robinson,troy franklin,devon achane,christian mccaffrey,rj harvey,brenton strange",,,,,133.8014901370785,131.16372974690773,109.3644462240888,161.33280313428384,21.98392574474674,0.11998586698288341,131.16372974690773,child_554849
drake maye,devon achane,christian mccaffrey,jaylen waddle,troy franklin,michael pittman,kyle pitts sr,treveyon henderson,dolphins,child_990654,"drake maye,dolphins,jaylen waddle,troy franklin,michael pittman,devon achane,christian mccaffrey,treveyon henderson,kyle pitts sr",,,,,133.44881207740465,131.15475805782322,107.74856120337415,160.51599621210735,21.565804776093405,0.10637460755114006,131.15475805782322,
bo nix,devon achane,christian mccaffrey,wandale robinson,troy franklin,michael pittman,hunter henry,treveyon henderson,dolphins,,"bo nix,dolphins,wandale robinson,troy franklin,michael pittman,devon achane,christian mccaffrey,treveyon henderson,hunter henry",,,,,133.92230903818643,130.96379257760648,108.85600201624085,160.42758793995878,21.674104520047827,0.1365000550700221,130.96379257760648,child_150192
drake maye,devon achane,christian mccaffrey,jaylen waddle,wandale robinson,michael pittman,hunter henry,rj harvey,giants,39,"drake maye,devon achane,christian mccaffrey,rj harvey,jaylen waddle,wandale robinson,michael pittman,hunter henry,giants",2.0,0.8066666666666666,119.4,60000.0,132.54993916005327,130.7199583064573,106.90362823762408,159.3073402768745,20.43099974644023,0.0895688354122178,130.7199583064573,
drake maye,devon achane,christian mccaffrey,jaylen waddle,tetairoa mcmillan,troy franklin,kyle pitts sr,rj harvey,titans,1,"drake maye,devon achane,christian mccaffrey,rj harvey,jaylen waddle,tetairoa mcmillan,troy franklin,kyle pitts sr,titans",1.0,0.0,120.6,60000.0,132.46064686369874,130.5810851696206,107.55770110773604,159.82648660644773,20.809252717860335,0.0903233633404309,130.5810851696206,
drake maye,devon achane,christian mccaffrey,jaylen waddle,wandale robinson,troy franklin,hunter henry,rj harvey,titans,9,"drake maye,devon achane,christian mccaffrey,rj harvey,jaylen waddle,wandale robinson,troy franklin,hunter henry,titans",1.0,0.0,119.9,59900.0,132.28955329706537,130.41632739205,108.3158895676234,158.74081523492373,19.898356563864343,0.0941397295300846,130.41632739205,
drake maye,devon achane,christian mccaffrey,wandale robinson,tetairoa mcmillan,michael pittman,taysom hill,quinshon judkins,dolphins,mutated_739229,"drake maye,dolphins,wandale robinson,tetairoa mcmillan,michael pittman,devon achane,christian mccaffrey,quinshon judkins,taysom hill",,,,,132.49965325770737,130.1914231202336,107.33733505237126,161.7097178387361,21.85431020245479,0.10561898847827732,130.1914231202336,
drake maye,devon achane,christian mccaffrey,jaylen waddle,wandale robinson,courtland sutton,kyle pitts sr,rj harvey,titans,27,"drake maye,devon achane,christian mccaffrey,rj harvey,jaylen waddle,wandale robinson,courtland sutton,kyle pitts sr,titans",2.0,0.4866666666666667,119.5,60000.0,131.9388569021015,130.1411184718505,108.94685968744992,157.35795556696922,19.239425203137213,0.0934403398890451,130.1411184718505,
bo nix,devon achane,christian mccaffrey,courtland sutton,wandale robinson,brian thomas,hunter henry,ashton jeanty,chargers,,"bo nix,chargers,courtland sutton,wandale robinson,brian thomas,devon achane,christian mccaffrey,ashton jeanty,hunter henry",,,,,131.94852030426316,130.01306013297608,106.58169708081672,159.10643392192767,21.658864074223416,0.08936111167485003,130.01306013297608,child_455571
