QB,RB1,RB2,WR1,WR2,WR3,TE,FLEX,DEF,cvar_score,actual_only,actual_with_consensus,mean,median,std,p10,p80,p90,lineup_id,player_ids,total_salary,strategy,anchor_player,players_actual,players_consensus,players_missing,error_vs_mean,error_vs_median,in_range,above_p90,below_p10
Matthew Stafford,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Tetairoa McMillan,Michael Pittman Jr.,Hunter Henry,RJ Harvey,Tennessee Titans,145.41,99.72,110.12,113.16,111.43,21.34,87.68,131.84,142.75,37,"123617-138820,123617-55050,123617-6654,123617-90573,123617-167620,123617-110484,123617-69213,123617-40845,123617-12534",60000,qb_anchor,Matthew Stafford,8,1,0,-3.04,-1.31,True,False,False
Daniel Jones,De'Von Achane,TreVeyon Henderson,Emeka Egbuka,Jaylen Waddle,Alec Pierce,Hunter Henry,Kenneth Walker III,Tennessee Titans,145.2,97.34,97.34,114.23,111.73,20.53,89.81,130.49,144.59,0,"123617-138820,123617-152655,123617-152647,123617-63519,123617-90573,123617-103342,123617-86312,123617-40845,123617-12534",60000,qb_anchor,Daniel Jones,9,0,0,-16.89,-14.39,True,False,False
Matthew Stafford,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Tetairoa McMillan,Van Jefferson,Hunter Henry,TreVeyon Henderson,Tennessee Titans,144.96,90.12,95.32,112.87,110.82,21.9,87.52,131.16,141.65,36,"123617-138820,123617-55050,123617-6654,123617-152647,123617-90573,123617-167620,123617-40845,123617-64581,123617-12534",60000,qb_anchor,Matthew Stafford,8,1,0,-17.55,-15.5,True,False,False
Justin Herbert,De'Von Achane,TreVeyon Henderson,Jaylen Waddle,Mack Hollins,Chimere Dike,Harold Fannin Jr.,Kenneth Walker III,Los Angeles Chargers,144.93,81.74,81.74,114.31,112.43,20.35,88.93,132.39,142.71,22,"123617-138820,123617-69189,123617-152647,123617-90573,123617-103342,123617-25267,123617-129112,123617-172699,123617-12548",59700,qb_anchor,Justin Herbert,9,0,0,-32.57,-30.69,False,False,True
Baker Mayfield,De'Von Achane,TreVeyon Henderson,Jaylen Waddle,Troy Franklin,Chimere Dike,Hunter Henry,Kimani Vidal,Los Angeles Chargers,144.68,95.46,95.46,113.4,110.82,20.51,90.91,129.92,142.6,10,"123617-138820,123617-41535,123617-152647,123617-90573,123617-128633,123617-151903,123617-129112,123617-40845,123617-12548",60000,qb_anchor,Baker Mayfield,9,0,0,-17.94,-15.36,True,False,False
Drake Maye,De'Von Achane,Kimani Vidal,Tetairoa McMillan,Michael Pittman Jr.,Adonai Mitchell,Trey McBride,Tyjae Spears,Los Angeles Chargers,144.42,131.68,142.08,114.29,111.75,19.66,89.72,129.28,142.34,47,"123617-138820,123617-91750,123617-152316,123617-167620,123617-128633,123617-69213,123617-151789,123617-107293,123617-12548",59500,qb_anchor,Drake Maye,8,1,0,27.79,30.33,True,False,False
Justin Herbert,De'Von Achane,TreVeyon Henderson,Jaylen Waddle,Troy Franklin,Chimere Dike,Harold Fannin Jr.,Kenneth Walker III,Los Angeles Chargers,144.4,81.04,81.04,114.61,113.53,20.28,90.45,132.83,141.26,20,"123617-138820,123617-69189,123617-152647,123617-90573,123617-103342,123617-151903,123617-129112,123617-172699,123617-12548",60000,qb_anchor,Justin Herbert,9,0,0,-33.57,-32.49,False,False,True
C.J. Stroud,Jonathan Taylor,De'Von Achane,Jaylen Waddle,Tetairoa McMillan,Chimere Dike,Kyle Pitts Sr.,Kimani Vidal,New Orleans Saints,144.19,103.64,103.64,112.57,109.93,21.25,85.77,131.38,139.6,58,"123617-89675,123617-138820,123617-90573,123617-129471,123617-167620,123617-128633,123617-129112,123617-86080,123617-12542",60000,qb_anchor,C.J. Stroud,9,0,0,-8.93,-6.29,True,False,False
Justin Herbert,De'Von Achane,TreVeyon Henderson,Jaylen Waddle,Mack Hollins,Chimere Dike,Zach Ertz,Kenneth Walker III,Los Angeles Chargers,144.19,90.54,90.54,114.51,114.58,20.31,89.03,131.7,139.06,23,"123617-138820,123617-69189,123617-152647,123617-90573,123617-103342,123617-25267,123617-129112,123617-29780,123617-12548",59800,qb_anchor,Justin Herbert,9,0,0,-23.97,-24.04,True,False,False
Sam Darnold,De'Von Achane,TreVeyon Henderson,DK Metcalf,Jaylen Waddle,Michael Pittman Jr.,Hunter Henry,RJ Harvey,Arizona Cardinals,144.13,76.82,87.22,114.32,111.77,19.93,91.16,129.63,142.92,7,"123617-138820,123617-152647,123617-63589,123617-73048,123617-90573,123617-110484,123617-69213,123617-40845,123617-12546",59500,qb_anchor,Sam Darnold,8,1,0,-27.1,-24.55,False,False,True
Daniel Jones,De'Von Achane,TreVeyon Henderson,Emeka Egbuka,Jaylen Waddle,Chimere Dike,John Bates,Kenneth Walker III,Los Angeles Chargers,143.88,76.64,78.14,112.51,107.65,20.24,89.72,129.78,141.02,1,"123617-138820,123617-152655,123617-152647,123617-63519,123617-90573,123617-103342,123617-129112,123617-12548,123617-72705",59900,qb_anchor,Daniel Jones,8,1,0,-34.37,-29.51,False,False,True
C.J. Stroud,De'Von Achane,Kenneth Walker III,DK Metcalf,Jaylen Waddle,Tetairoa McMillan,Kyle Pitts Sr.,Kimani Vidal,Los Angeles Chargers,143.86,105.24,105.24,112.12,109.46,21.0,87.52,130.53,143.52,56,"123617-138820,123617-73048,123617-90573,123617-103342,123617-129471,123617-167620,123617-128633,123617-86080,123617-12548",59800,qb_anchor,C.J. Stroud,9,0,0,-6.88,-4.22,True,False,False
Daniel Jones,De'Von Achane,Kenneth Walker III,Emeka Egbuka,Jaylen Waddle,Tetairoa McMillan,Hunter Henry,Kimani Vidal,Tennessee Titans,143.68,105.44,105.44,114.32,113.48,20.2,89.02,133.23,141.69,2,"123617-138820,123617-152655,123617-63519,123617-90573,123617-103342,123617-167620,123617-128633,123617-40845,123617-12534",60000,qb_anchor,Daniel Jones,9,0,0,-8.88,-8.04,True,False,False
Baker Mayfield,De'Von Achane,TreVeyon Henderson,Jaylen Waddle,Tetairoa McMillan,Van Jefferson,Hunter Henry,Kimani Vidal,Los Angeles Chargers,143.56,103.76,108.96,113.31,111.17,20.57,91.43,129.31,138.95,14,"123617-138820,123617-41535,123617-152647,123617-90573,123617-167620,123617-128633,123617-40845,123617-64581,123617-12548",59800,qb_anchor,Baker Mayfield,8,1,0,-4.35,-2.21,True,False,False
Jacoby Brissett,De'Von Achane,Kenneth Walker III,Emeka Egbuka,Tetairoa McMillan,Michael Pittman Jr.,Hunter Henry,Kimani Vidal,Arizona Cardinals,143.35,106.44,116.84,112.27,108.91,21.37,90.48,131.49,139.29,29,"123617-138820,123617-152655,123617-30231,123617-103342,123617-167620,123617-128633,123617-69213,123617-40845,123617-12546",59800,qb_anchor,Jacoby Brissett,8,1,0,4.57,7.93,True,False,False
Baker Mayfield,De'Von Achane,TreVeyon Henderson,Jaylen Waddle,Khalil Shakir,Chimere Dike,Hunter Henry,RJ Harvey,Los Angeles Chargers,143.28,89.86,89.86,112.46,109.77,20.3,89.37,129.32,137.73,12,"123617-138820,123617-41535,123617-152647,123617-90573,123617-86518,123617-110484,123617-129112,123617-40845,123617-12548",59700,qb_anchor,Baker Mayfield,9,0,0,-22.6,-19.91,True,False,False
Jacoby Brissett,De'Von Achane,TreVeyon Henderson,DK Metcalf,Jaylen Waddle,Tetairoa McMillan,Dawson Knox,Kenneth Walker III,Tennessee Titans,143.16,93.34,93.34,111.97,109.57,21.08,88.03,131.35,138.25,25,"123617-138820,123617-152647,123617-30231,123617-73048,123617-90573,123617-103342,123617-167620,123617-64585,123617-12534",59800,qb_anchor,Jacoby Brissett,9,0,0,-18.63,-16.23,True,False,False
Daniel Jones,De'Von Achane,Kenneth Walker III,Emeka Egbuka,Jaylen Waddle,Michael Pittman Jr.,Hunter Henry,Kimani Vidal,Arizona Cardinals,142.93,93.64,104.04,112.88,109.17,19.97,88.25,129.8,138.91,4,"123617-138820,123617-152655,123617-63519,123617-90573,123617-103342,123617-128633,123617-69213,123617-40845,123617-12546",59900,qb_anchor,Daniel Jones,8,1,0,-8.84,-5.13,True,False,False
Daniel Jones,De'Von Achane,TreVeyon Henderson,Jaylen Waddle,Mack Hollins,Alec Pierce,Hunter Henry,Kenneth Walker III,Los Angeles Chargers,142.87,99.94,99.94,112.85,110.41,20.09,90.26,128.5,141.74,3,"123617-138820,123617-152647,123617-63519,123617-90573,123617-103342,123617-25267,123617-86312,123617-40845,123617-12548",59400,qb_anchor,Daniel Jones,9,0,0,-12.91,-10.47,True,False,False
Justin Herbert,Jonathan Taylor,De'Von Achane,Jaylen Waddle,Mack Hollins,Chimere Dike,Gunnar Helm,Tony Pollard,Los Angeles Chargers,142.67,76.64,76.64,112.73,110.64,20.17,88.56,127.95,139.74,24,"123617-89675,123617-138820,123617-69189,123617-90573,123617-25267,123617-129112,123617-63759,123617-152148,123617-12548",59900,qb_anchor,Justin Herbert,9,0,0,-36.09,-34.0,False,False,True
Sam Darnold,De'Von Achane,TreVeyon Henderson,DK Metcalf,Jaylen Waddle,Adonai Mitchell,Hunter Henry,Kimani Vidal,Los Angeles Chargers,142.61,109.52,109.52,114.41,113.34,19.4,89.67,128.08,141.62,9,"123617-138820,123617-152647,123617-63589,123617-73048,123617-90573,123617-128633,123617-40845,123617-151789,123617-12548",60000,qb_anchor,Sam Darnold,9,0,0,-4.89,-3.82,True,False,False
C.J. Stroud,Jonathan Taylor,De'Von Achane,Jaylen Waddle,Tetairoa McMillan,Mack Hollins,Harold Fannin Jr.,Kimani Vidal,Tennessee Titans,142.25,102.14,102.14,111.9,109.92,20.78,87.73,129.18,136.51,57,"123617-89675,123617-138820,123617-90573,123617-129471,123617-167620,123617-128633,123617-25267,123617-172699,123617-12534",59900,qb_anchor,C.J. Stroud,9,0,0,-9.76,-7.78,True,False,False
C.J. Stroud,Jonathan Taylor,De'Von Achane,Jaylen Waddle,Tetairoa McMillan,Chimere Dike,Harold Fannin Jr.,Kimani Vidal,New Orleans Saints,142.17,101.74,101.74,111.91,108.61,20.75,87.47,130.63,141.5,55,"123617-89675,123617-138820,123617-90573,123617-129471,123617-167620,123617-128633,123617-129112,123617-172699,123617-12542",60000,qb_anchor,C.J. Stroud,9,0,0,-10.17,-6.87,True,False,False
Matthew Stafford,De'Von Achane,Kenneth Walker III,Emeka Egbuka,Jaylen Waddle,Tetairoa McMillan,Brenton Strange,RJ Harvey,New York Giants,142.14,101.12,101.12,111.46,109.37,20.3,89.63,127.24,141.55,35,"123617-138820,123617-152655,123617-6654,123617-90573,123617-103342,123617-167620,123617-110484,123617-103587,123617-12543",59900,qb_anchor,Matthew Stafford,9,0,0,-10.34,-8.25,True,False,False
Jaxson Dart,De'Von Achane,TreVeyon Henderson,DK Metcalf,Jaylen Waddle,Michael Pittman Jr.,Hunter Henry,Kimani Vidal,New Orleans Saints,142.13,95.76,106.16,112.0,110.81,20.17,89.54,128.05,138.67,18,"123617-138820,123617-152647,123617-151966,123617-73048,123617-90573,123617-128633,123617-69213,123617-40845,123617-12542",59900,qb_anchor,Jaxson Dart,8,1,0,-5.84,-4.65,True,False,False
Trevor Lawrence,De'Von Achane,TreVeyon Henderson,Emeka Egbuka,Jaylen Waddle,Alec Pierce,Hunter Henry,Kenneth Walker III,Tennessee Titans,141.97,102.86,102.86,111.55,109.94,20.97,86.57,128.8,138.58,31,"123617-138820,123617-152655,123617-152647,123617-89951,123617-90573,123617-103342,123617-86312,123617-40845,123617-12534",59700,qb_anchor,Trevor Lawrence,9,0,0,-8.69,-7.08,True,False,False
Bo Nix,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Wan'Dale Robinson,Michael Pittman Jr.,Gunnar Helm,TreVeyon Henderson,Tennessee Titans,141.96,89.04,99.44,109.98,106.96,21.53,85.57,129.61,138.73,52,"123617-138820,123617-55050,123617-152647,123617-102965,123617-90573,123617-103539,123617-69213,123617-152148,123617-12534",59800,qb_anchor,Bo Nix,8,1,0,-10.54,-7.52,True,False,False
Matthew Stafford,De'Von Achane,TreVeyon Henderson,DK Metcalf,Jaylen Waddle,Michael Pittman Jr.,Hunter Henry,Kimani Vidal,Tennessee Titans,141.76,91.82,102.22,113.13,112.15,20.58,89.59,132.36,139.5,38,"123617-138820,123617-6654,123617-152647,123617-73048,123617-90573,123617-128633,123617-69213,123617-40845,123617-12534",60000,qb_anchor,Matthew Stafford,8,1,0,-10.91,-9.93,True,False,False
Trevor Lawrence,Jonathan Taylor,De'Von Achane,Jaylen Waddle,Chimere Dike,Cooper Kupp,Hunter Henry,TreVeyon Henderson,Tennessee Titans,141.68,88.86,88.86,111.33,109.25,20.79,87.57,127.89,138.52,30,"123617-89675,123617-138820,123617-152647,123617-89951,123617-90573,123617-129112,123617-79970,123617-40845,123617-12534",59900,qb_anchor,Trevor Lawrence,9,0,0,-22.47,-20.39,True,False,False
Matthew Stafford,De'Von Achane,Jaylen Warren,Emeka Egbuka,Tetairoa McMillan,Michael Pittman Jr.,Brenton Strange,Kenneth Walker III,Tennessee Titans,141.58,88.32,98.72,112.21,109.5,20.23,90.97,128.23,140.79,39,"123617-138820,123617-152655,123617-6654,123617-112057,123617-103342,123617-167620,123617-69213,123617-103587,123617-12534",59900,qb_anchor,Matthew Stafford,8,1,0,-13.49,-10.78,True,False,False
Josh Allen,De'Von Achane,Breece Hall,Jaylen Waddle,Mack Hollins,Cooper Kupp,Gunnar Helm,Kenneth Walker III,Los Angeles Chargers,141.36,90.12,90.12,110.64,107.86,19.93,89.87,128.04,136.29,40,"123617-62239,123617-138820,123617-103064,123617-90573,123617-103342,123617-25267,123617-79970,123617-152148,123617-12548",60000,qb_anchor,Josh Allen,9,0,0,-20.52,-17.74,True,False,False
Jaxson Dart,De'Von Achane,TreVeyon Henderson,Jaylen Waddle,Troy Franklin,Alec Pierce,Hunter Henry,Kenneth Walker III,Los Angeles Chargers,141.32,96.66,96.66,112.4,111.48,20.05,88.94,127.7,138.33,17,"123617-138820,123617-152647,123617-151966,123617-90573,123617-103342,123617-151903,123617-86312,123617-40845,123617-12548",59700,qb_anchor,Jaxson Dart,9,0,0,-15.74,-14.82,True,False,False
Trevor Lawrence,De'Von Achane,Christian McCaffrey,Jaylen Waddle,Troy Franklin,Alec Pierce,Hunter Henry,TreVeyon Henderson,Tennessee Titans,140.57,106.26,106.26,109.89,106.77,20.52,87.3,127.09,135.62,34,"123617-138820,123617-55050,123617-152647,123617-89951,123617-90573,123617-151903,123617-86312,123617-40845,123617-12534",59600,qb_anchor,Trevor Lawrence,9,0,0,-3.63,-0.51,True,False,False
Bo Nix,De'Von Achane,Kenneth Walker III,Emeka Egbuka,Jaylen Waddle,Tetairoa McMillan,Gunnar Helm,Mack Hollins,Los Angeles Chargers,140.5,91.34,91.34,109.65,107.29,20.44,82.98,128.81,138.42,53,"123617-138820,123617-152655,123617-102965,123617-90573,123617-103342,123617-167620,123617-25267,123617-152148,123617-12548",60000,qb_anchor,Bo Nix,9,0,0,-18.31,-15.95,True,False,False
Trevor Lawrence,Jonathan Taylor,De'Von Achane,Jaylen Waddle,Troy Franklin,Chimere Dike,Jonnu Smith,TreVeyon Henderson,Tennessee Titans,140.13,78.76,82.96,109.94,107.36,20.19,84.98,127.35,135.88,32,"123617-89675,123617-138820,123617-152647,123617-89951,123617-90573,123617-151903,123617-129112,123617-48116,123617-12534",59900,qb_anchor,Trevor Lawrence,8,1,0,-26.98,-24.4,False,False,True
Bo Nix,Jonathan Taylor,De'Von Achane,Jaylen Waddle,Tetairoa McMillan,Adonai Mitchell,Gunnar Helm,Kimani Vidal,Tennessee Titans,139.5,127.44,127.44,108.89,107.72,20.31,84.97,126.08,136.32,54,"123617-89675,123617-138820,123617-102965,123617-90573,123617-167620,123617-128633,123617-151789,123617-152148,123617-12534",59600,qb_anchor,Bo Nix,9,0,0,18.55,19.72,True,False,False
Josh Allen,De'Von Achane,Rico Dowdle,Jaylen Waddle,Mack Hollins,Alec Pierce,Brenton Strange,Kenneth Walker III,Tennessee Titans,139.37,98.02,98.02,110.38,107.99,19.35,87.57,126.76,134.23,43,"123617-62239,123617-138820,123617-72297,123617-90573,123617-103342,123617-25267,123617-86312,123617-103587,123617-12534",60000,qb_anchor,Josh Allen,9,0,0,-12.36,-9.97,True,False,False
Josh Allen,De'Von Achane,Kenneth Walker III,Jaylen Waddle,Troy Franklin,Alec Pierce,Dalton Schultz,RJ Harvey,Los Angeles Chargers,138.62,110.12,110.12,110.14,106.72,19.25,88.1,127.46,136.48,41,"123617-62239,123617-138820,123617-90573,123617-103342,123617-110484,123617-151903,123617-86312,123617-55042,123617-12548",60000,qb_anchor,Josh Allen,9,0,0,-0.02,3.4,True,False,False
Josh Allen,Jonathan Taylor,De'Von Achane,Jaylen Waddle,Alec Pierce,Adonai Mitchell,John Bates,Kenneth Walker III,Tennessee Titans,138.24,110.12,111.62,109.16,106.86,19.37,87.08,126.83,135.76,42,"123617-89675,123617-62239,123617-138820,123617-90573,123617-103342,123617-86312,123617-151789,123617-72705,123617-12534",60000,qb_anchor,Josh Allen,8,1,0,2.46,4.76,True,False,False
Trevor Lawrence,De'Von Achane,TreVeyon Henderson,DK Metcalf,Jaylen Waddle,Alec Pierce,Jonnu Smith,Kenneth Walker III,Los Angeles Chargers,138.14,97.06,101.26,108.98,105.86,19.44,87.13,123.69,137.14,33,"123617-138820,123617-152647,123617-73048,123617-89951,123617-90573,123617-103342,123617-86312,123617-48116,123617-12548",59700,qb_anchor,Trevor Lawrence,8,1,0,-7.72,-4.6,True,False,False
Jaxson Dart,De'Von Achane,TreVeyon Henderson,DK Metcalf,Jaylen Waddle,Alec Pierce,Hunter Henry,Kenneth Walker III,Arizona Cardinals,138.05,92.26,92.26,111.37,110.74,18.63,89.67,125.97,135.44,15,"123617-138820,123617-152647,123617-151966,123617-73048,123617-90573,123617-103342,123617-86312,123617-40845,123617-12546",59800,qb_anchor,Jaxson Dart,9,0,0,-19.11,-18.48,True,False,False
Bo Nix,De'Von Achane,Kenneth Walker III,Emeka Egbuka,Jaylen Waddle,Mack Hollins,Gunnar Helm,Kimani Vidal,Los Angeles Chargers,137.67,103.74,103.74,109.22,108.48,19.67,85.69,126.87,136.13,50,"123617-138820,123617-152655,123617-102965,123617-90573,123617-103342,123617-128633,123617-25267,123617-152148,123617-12548",59900,qb_anchor,Bo Nix,9,0,0,-5.48,-4.74,True,False,False
Jaxson Dart,De'Von Achane,TreVeyon Henderson,DK Metcalf,Jaylen Waddle,Alec Pierce,Hunter Henry,Kenneth Walker III,New Orleans Saints,137.57,97.26,97.26,110.89,110.37,18.51,87.13,127.51,133.17,16,"123617-138820,123617-152647,123617-151966,123617-73048,123617-90573,123617-103342,123617-86312,123617-40845,123617-12542",59700,qb_anchor,Jaxson Dart,9,0,0,-13.63,-13.11,True,False,False
Josh Allen,De'Von Achane,TreVeyon Henderson,Jaylen Waddle,Quentin Johnston,Cooper Kupp,Dawson Knox,RJ Harvey,Los Angeles Chargers,137.53,101.42,101.42,109.81,108.98,18.81,90.14,124.16,133.36,44,"123617-62239,123617-138820,123617-152647,123617-90573,123617-110484,123617-120639,123617-79970,123617-64585,123617-12548",59800,qb_anchor,Josh Allen,9,0,0,-8.39,-7.56,True,False,False
Bo Nix,De'Von Achane,Kenneth Walker III,Emeka Egbuka,Tetairoa McMillan,Mack Hollins,Gunnar Helm,Kimani Vidal,Los Angeles Rams,137.27,103.04,103.04,108.39,105.82,19.55,85.62,126.31,133.63,51,"123617-138820,123617-152655,123617-102965,123617-103342,123617-167620,123617-128633,123617-25267,123617-152148,123617-12538",59800,qb_anchor,Bo Nix,9,0,0,-5.35,-2.78,True,False,False
