QB,RB1,RB2,WR1,WR2,WR3,TE,FLEX,DEF,lineup_id,player_ids,tier,temperature,total_projection,total_salary
matthew stafford,devon achane,christian mccaffrey,jaylen waddle,wandale robinson,michael pittman,brenton strange,rj harvey,dolphins,53,"matthew stafford,devon achane,christian mccaffrey,rj harvey,jaylen waddle,wandale robinson,michael pittman,brenton strange,dolphins",2,0.63,119.30000000000001,60000
jaxson dart,devon achane,christian mccaffrey,jaylen waddle,tetairoa mcmillan,troy franklin,kyle pitts sr,rj harvey,dolphins,54,"jaxson dart,devon achane,christian mccaffrey,rj harvey,jaylen waddle,tetairoa mcmillan,troy franklin,kyle pitts sr,dolphins",2,0.64,119.3,59900
drake maye,devon achane,christian mccaffrey,jaylen waddle,troy franklin,courtland sutton,kyle pitts sr,rj harvey,raiders,55,"drake maye,devon achane,christian mccaffrey,rj harvey,jaylen waddle,troy franklin,courtland sutton,kyle pitts sr,raiders",2,0.65,119.3,60000
matthew stafford,devon achane,christian mccaffrey,jaylen waddle,troy franklin,alec pierce,hunter henry,rj harvey,falcons,56,"matthew stafford,devon achane,christian mccaffrey,rj harvey,jaylen waddle,troy franklin,alec pierce,hunter henry,falcons",2,0.66,119.3,60000
matthew stafford,devon achane,christian mccaffrey,tetairoa mcmillan,troy franklin,michael pittman,hunter henry,rj harvey,dolphins,57,"matthew stafford,devon achane,christian mccaffrey,rj harvey,tetairoa mcmillan,troy franklin,michael pittman,hunter henry,dolphins",2,0.67,119.3,59900
drake maye,devon achane,christian mccaffrey,jaylen waddle,michael pittman,khalil shakir,hunter henry,rj harvey,titans,58,"drake maye,devon achane,christian mccaffrey,rj harvey,jaylen waddle,michael pittman,khalil shakir,hunter henry,titans",2,0.6799999999999999,119.2,59800
justin herbert,devon achane,christian mccaffrey,jaylen waddle,tetairoa mcmillan,michael pittman,kyle pitts sr,rj harvey,titans,59,"justin herbert,devon achane,christian mccaffrey,rj harvey,jaylen waddle,tetairoa mcmillan,michael pittman,kyle pitts sr,titans",2,0.69,119.2,60000
matthew stafford,devon achane,christian mccaffrey,wandale robinson,troy franklin,michael pittman,kyle pitts sr,treveyon henderson,titans,60,"matthew stafford,devon achane,christian mccaffrey,treveyon henderson,wandale robinson,troy franklin,michael pittman,kyle pitts sr,titans",2,0.7,119.2,59900
matthew stafford,devon achane,christian mccaffrey,tetairoa mcmillan,troy franklin,michael pittman,kyle pitts sr,rj harvey,falcons,61,"matthew stafford,devon achane,christian mccaffrey,rj harvey,tetairoa mcmillan,troy franklin,michael pittman,kyle pitts sr,falcons",2,0.71,119.2,59900
bo nix,devon achane,christian mccaffrey,jaylen waddle,tetairoa mcmillan,troy franklin,kyle pitts sr,rj harvey,browns,62,"bo nix,devon achane,christian mccaffrey,rj harvey,jaylen waddle,tetairoa mcmillan,troy franklin,kyle pitts sr,browns",2,0.72,119.2,60000
matthew stafford,devon achane,christian mccaffrey,jaylen waddle,wandale robinson,alec pierce,hunter henry,rj harvey,dolphins,63,"matthew stafford,devon achane,christian mccaffrey,rj harvey,jaylen waddle,wandale robinson,alec pierce,hunter henry,dolphins",2,0.73,119.2,59900
matthew stafford,devon achane,christian mccaffrey,jaylen waddle,troy franklin,michael pittman,dalton schultz,rj harvey,dolphins,64,"matthew stafford,devon achane,christian mccaffrey,rj harvey,jaylen waddle,troy franklin,michael pittman,dalton schultz,dolphins",2,0.74,119.2,59900
bo nix,devon achane,christian mccaffrey,jaylen waddle,troy franklin,michael pittman,oronde gadsden,rj harvey,dolphins,65,"bo nix,devon achane,christian mccaffrey,rj harvey,jaylen waddle,troy franklin,michael pittman,oronde gadsden,dolphins",2,0.75,119.2,60000
drake maye,devon achane,christian mccaffrey,jaylen waddle,michael pittman,khalil shakir,kyle pitts sr,rj harvey,saints,66,"drake maye,devon achane,christian mccaffrey,rj harvey,jaylen waddle,michael pittman,khalil shakir,kyle pitts sr,saints",2,0.76,119.2,59900
drake maye,devon achane,christian mccaffrey,wandale robinson,troy franklin,alec pierce,kyle pitts sr,rj harvey,chargers,67,"drake maye,devon achane,christian mccaffrey,rj harvey,wandale robinson,troy franklin,alec pierce,kyle pitts sr,chargers",2,0.77,119.1,59900
matthew stafford,devon achane,christian mccaffrey,jaylen waddle,troy franklin,tre tucker,kyle pitts sr,treveyon henderson,titans,68,"matthew stafford,devon achane,christian mccaffrey,treveyon henderson,jaylen waddle,troy franklin,tre tucker,kyle pitts sr,titans",2,0.78,119.1,59900
bo nix,devon achane,christian mccaffrey,tetairoa mcmillan,michael pittman,khalil shakir,kyle pitts sr,rj harvey,chargers,69,"bo nix,devon achane,christian mccaffrey,rj harvey,tetairoa mcmillan,michael pittman,khalil shakir,kyle pitts sr,chargers",2,0.79,119.10000000000001,59900
bo nix,devon achane,treveyon henderson,jaylen waddle,tetairoa mcmillan,wandale robinson,kyle pitts sr,rj harvey,chargers,70,"bo nix,devon achane,treveyon henderson,rj harvey,jaylen waddle,tetairoa mcmillan,wandale robinson,kyle pitts sr,chargers",2,0.8,119.10000000000001,59900
drake maye,devon achane,christian mccaffrey,jaylen waddle,tetairoa mcmillan,troy franklin,kyle pitts sr,tyjae spears,chargers,71,"drake maye,devon achane,christian mccaffrey,tyjae spears,jaylen waddle,tetairoa mcmillan,troy franklin,kyle pitts sr,chargers",2,0.81,119.10000000000001,59900
drake maye,devon achane,ashton jeanty,jaylen waddle,tetairoa mcmillan,troy franklin,kyle pitts sr,rj harvey,chargers,72,"drake maye,devon achane,ashton jeanty,rj harvey,jaylen waddle,tetairoa mcmillan,troy franklin,kyle pitts sr,chargers",2,0.8200000000000001,119.1,60000
matthew stafford,devon achane,christian mccaffrey,tetairoa mcmillan,wandale robinson,michael pittman,kyle pitts sr,rj harvey,dolphins,73,"matthew stafford,devon achane,christian mccaffrey,rj harvey,tetairoa mcmillan,wandale robinson,michael pittman,kyle pitts sr,dolphins",2,0.8300000000000001,119.10000000000001,59800
matthew stafford,devon achane,christian mccaffrey,jaylen waddle,wandale robinson,alec pierce,kyle pitts sr,rj harvey,falcons,74,"matthew stafford,devon achane,christian mccaffrey,rj harvey,jaylen waddle,wandale robinson,alec pierce,kyle pitts sr,falcons",2,0.8400000000000001,119.10000000000001,59900
matthew stafford,devon achane,christian mccaffrey,jaylen waddle,stefon diggs,troy franklin,kyle pitts sr,rj harvey,titans,75,"matthew stafford,devon achane,christian mccaffrey,rj harvey,jaylen waddle,stefon diggs,troy franklin,kyle pitts sr,titans",2,0.8500000000000001,119.1,59800
cj stroud,devon achane,christian mccaffrey,davante adams,jaylen waddle,troy franklin,kyle pitts sr,rj harvey,titans,76,"cj stroud,devon achane,christian mccaffrey,rj harvey,davante adams,jaylen waddle,troy franklin,kyle pitts sr,titans",2,0.8599999999999999,119.1,59900
matthew stafford,devon achane,christian mccaffrey,jaylen waddle,tetairoa mcmillan,alec pierce,hunter henry,rj harvey,saints,77,"matthew stafford,devon achane,christian mccaffrey,rj harvey,jaylen waddle,tetairoa mcmillan,alec pierce,hunter henry,saints",2,0.8700000000000001,119.1,60000
matthew stafford,devon achane,christian mccaffrey,jaylen waddle,troy franklin,courtland sutton,hunter henry,rj harvey,raiders,78,"matthew stafford,devon achane,christian mccaffrey,rj harvey,jaylen waddle,troy franklin,courtland sutton,hunter henry,raiders",2,0.8799999999999999,119.1,60000
bo nix,devon achane,christian mccaffrey,davante adams,troy franklin,michael pittman,hunter henry,rj harvey,titans,79,"bo nix,devon achane,christian mccaffrey,rj harvey,davante adams,troy franklin,michael pittman,hunter henry,titans",2,0.8900000000000001,119.1,60000
matthew stafford,devon achane,christian mccaffrey,jaylen waddle,wandale robinson,michael pittman,hunter henry,rj harvey,raiders,80,"matthew stafford,devon achane,christian mccaffrey,rj harvey,jaylen waddle,wandale robinson,michael pittman,hunter henry,raiders",2,0.9000000000000001,119.10000000000001,59800
bo nix,devon achane,christian mccaffrey,davante adams,wandale robinson,troy franklin,kyle pitts sr,rj harvey,titans,81,"bo nix,devon achane,christian mccaffrey,rj harvey,davante adams,wandale robinson,troy franklin,kyle pitts sr,titans",2,0.9099999999999999,119.1,59900
cj stroud,devon achane,christian mccaffrey,jaylen waddle,wandale robinson,troy franklin,hunter henry,rj harvey,chargers,82,"cj stroud,devon achane,christian mccaffrey,rj harvey,jaylen waddle,wandale robinson,troy franklin,hunter henry,chargers",2,0.9200000000000002,119.1,59900
drake maye,devon achane,christian mccaffrey,troy franklin,michael pittman,alec pierce,hunter henry,rj harvey,chargers,83,"drake maye,devon achane,christian mccaffrey,rj harvey,troy franklin,michael pittman,alec pierce,hunter henry,chargers",2,0.9299999999999999,119.1,60000
bo nix,devon achane,christian mccaffrey,wandale robinson,troy franklin,michael pittman,kyle pitts sr,treveyon henderson,dolphins,84,"bo nix,devon achane,christian mccaffrey,treveyon henderson,wandale robinson,troy franklin,michael pittman,kyle pitts sr,dolphins",2,0.9400000000000002,119.10000000000001,60000
bo nix,devon achane,christian mccaffrey,jaylen waddle,wandale robinson,michael pittman,hunter henry,rj harvey,dolphins,85,"bo nix,devon achane,christian mccaffrey,rj harvey,jaylen waddle,wandale robinson,michael pittman,hunter henry,dolphins",2,0.95,119.10000000000001,59700
drake maye,devon achane,treveyon henderson,jaylen waddle,tetairoa mcmillan,wandale robinson,kyle pitts sr,rj harvey,dolphins,86,"drake maye,devon achane,treveyon henderson,rj harvey,jaylen waddle,tetairoa mcmillan,wandale robinson,kyle pitts sr,dolphins",2,0.96,119.10000000000001,60000
bo nix,devon achane,christian mccaffrey,wandale robinson,troy franklin,michael pittman,kyle pitts sr,rj harvey,seahawks,87,"bo nix,devon achane,christian mccaffrey,rj harvey,wandale robinson,troy franklin,michael pittman,kyle pitts sr,seahawks",2,0.97,119.1,59900
drake maye,devon achane,christian mccaffrey,jaylen waddle,troy franklin,quentin johnston,kyle pitts sr,rj harvey,dolphins,88,"drake maye,devon achane,christian mccaffrey,rj harvey,jaylen waddle,troy franklin,quentin johnston,kyle pitts sr,dolphins",2,0.98,119.1,59900
matthew stafford,devon achane,christian mccaffrey,tetairoa mcmillan,troy franklin,courtland sutton,kyle pitts sr,rj harvey,dolphins,89,"matthew stafford,devon achane,christian mccaffrey,rj harvey,tetairoa mcmillan,troy franklin,courtland sutton,kyle pitts sr,dolphins",2,0.99,119.1,60000
cj stroud,devon achane,christian mccaffrey,jaylen waddle,troy franklin,michael pittman,kyle pitts sr,treveyon henderson,dolphins,90,"cj stroud,devon achane,christian mccaffrey,treveyon henderson,jaylen waddle,troy franklin,michael pittman,kyle pitts sr,dolphins",2,1.0,119.10000000000001,60000
bo nix,devon achane,christian mccaffrey,jaylen waddle,troy franklin,courtland sutton,hunter henry,rj harvey,dolphins,91,"bo nix,devon achane,christian mccaffrey,rj harvey,jaylen waddle,troy franklin,courtland sutton,hunter henry,dolphins",2,1.01,119.1,59900
bo nix,devon achane,christian mccaffrey,jaylen waddle,tetairoa mcmillan,troy franklin,oronde gadsden,rj harvey,titans,92,"bo nix,devon achane,christian mccaffrey,rj harvey,jaylen waddle,tetairoa mcmillan,troy franklin,oronde gadsden,titans",2,1.02,119.1,59900
cj stroud,devon achane,christian mccaffrey,jaylen waddle,troy franklin,michael pittman,kyle pitts sr,rj harvey,seahawks,93,"cj stroud,devon achane,christian mccaffrey,rj harvey,jaylen waddle,troy franklin,michael pittman,kyle pitts sr,seahawks",2,1.03,119.1,59900
trevor lawrence,devon achane,christian mccaffrey,jaylen waddle,tetairoa mcmillan,alec pierce,kyle pitts sr,rj harvey,chargers,94,"trevor lawrence,devon achane,christian mccaffrey,rj harvey,jaylen waddle,tetairoa mcmillan,alec pierce,kyle pitts sr,chargers",2,1.04,119.10000000000001,60000
drake maye,devon achane,christian mccaffrey,jaylen waddle,troy franklin,khalil shakir,hunter henry,rj harvey,giants,95,"drake maye,devon achane,christian mccaffrey,rj harvey,jaylen waddle,troy franklin,khalil shakir,hunter henry,giants",2,1.05,119.1,59900
drake maye,devon achane,christian mccaffrey,jaylen waddle,troy franklin,adonai mitchell,kyle pitts sr,rj harvey,chargers,96,"drake maye,devon achane,christian mccaffrey,rj harvey,jaylen waddle,troy franklin,adonai mitchell,kyle pitts sr,chargers",2,1.06,119.1,60000
bo nix,devon achane,christian mccaffrey,tetairoa mcmillan,troy franklin,michael pittman,kyle pitts sr,rj harvey,rams,97,"bo nix,devon achane,christian mccaffrey,rj harvey,tetairoa mcmillan,troy franklin,michael pittman,kyle pitts sr,rams",2,1.07,119.0,59900
bo nix,devon achane,christian mccaffrey,jaylen waddle,tetairoa mcmillan,troy franklin,brenton strange,rj harvey,dolphins,98,"bo nix,devon achane,christian mccaffrey,rj harvey,jaylen waddle,tetairoa mcmillan,troy franklin,brenton strange,dolphins",2,1.08,119.0,59800
bo nix,devon achane,christian mccaffrey,jaylen waddle,troy franklin,tre tucker,kyle pitts sr,treveyon henderson,dolphins,99,"bo nix,devon achane,christian mccaffrey,treveyon henderson,jaylen waddle,troy franklin,tre tucker,kyle pitts sr,dolphins",2,1.09,119.0,60000
