name,tdOdds,tdProbability
kalel mullings,+10000,0.99
mason kinsey,+11000,0.9
aaron jones,+750,11.76
justin jefferson,+850,10.53
chris rodriguez,+950,9.52
deebo samuel,+1100,8.33
terry mclaurin,+1200,7.69
jordan addison,+1300,7.14
jordan mason,+1100,8.33
jayden daniels,+1300,7.14
zach ertz,+1300,7.14
tj hockenson,+1800,5.26
jj mccarthy,+1700,5.56
jacory croskeymerritt,+2000,4.76
jalen nailor,+2200,4.35
commanders,+2500,3.85
vikings,+2200,4.35
jeremy mcnichols,+2800,3.45
treylon burks,+3000,3.23
josh oliver,+3000,3.23
noah brown,+3000,3.23
john bates,+5000,1.96
jaylin lane,+4500,2.17
tai felton,+7500,1.32
myles price,+7000,1.41
zavier scott,+7500,1.32
colson yankoff,+8000,1.23
ben sinnott,+8000,1.23
ben sims,+8000,1.23
cj ham,+11000,0.9
rj harvey,+450,18.18
ashton jeanty,+700,12.5
courtland sutton,+750,11.76
brock bowers,+1000,9.09
troy franklin,+900,10.0
pat bryant,+1400,6.67
bo nix,+1400,6.67
evan engram,+1500,6.25
tre tucker,+2000,4.76
jaleel mclaughlin,+1800,5.26
broncos,+2000,4.76
raiders,+2000,4.76
marvin mims,+2200,4.35
adam trautman,+2500,3.85
jack bech,+3000,3.23
tyler lockett,+3500,2.78
ian thomas,+4500,2.17
tyler badie,+4000,2.44
raheem mostert,+4500,2.17
geno smith,+4500,2.17
liljordan humphrey,+5000,1.96
marcedes lewis,+7500,1.32
dylan laube,+8000,1.23
adam prentice,+7500,1.32
carter runyon,+11000,0.9
shedrick jackson,+10000,0.99
zamir white,+11000,0.9
dj turner,+11000,0.9
davante adams,+450,18.18
puka nacua,+500,16.67
kyren williams,+600,14.29
trey mcbride,+950,9.52
michael wilson,+1300,7.14
zonovan knight,+1200,7.69
colby parkinson,+1100,8.33
blake corum,+1600,5.88
michael carter,+1900,5.0
andre baccellia,+3500,2.78
xavier smith,+2500,3.85
rams,+2800,3.45
elijah higgins,+3500,2.78
konata mumpfield,+2800,3.45
cardinals,+2800,3.45
jordan whittington,+3000,3.23
jalen brooks,+4000,2.44
davis allen,+3000,3.23
trent sherfield,+3500,2.78
terrance ferguson,+3500,2.78
jacoby brissett,+4500,2.17
nick vannett,+4000,2.44
josiah deguara,+9000,1.1
pharaoh brown,+10000,0.99
matthew stafford,+8000,1.23
corey kiner,+11000,0.9
ronnie rivers,+11000,0.9
jarquez hunter,+11000,0.9
josh jacobs,+390,20.41
christian watson,+900,10.0
romeo doubs,+1000,9.09
dandre swift,+1100,8.33
kyle monangai,+1100,8.33
dj moore,+1600,5.88
emanuel wilson,+1500,6.25
dontayvion wicks,+1500,6.25
luther burden,+1700,5.56
matthew golden,+1700,5.56
colston loveland,+2000,4.76
jayden reed,+1800,5.26
caleb williams,+2000,4.76
olamide zaccheaus,+2500,3.85
packers,+2500,3.85
luke musgrave,+2800,3.45
bears,+2500,3.85
jordan love,+2800,3.45
cole kmet,+3000,3.23
josh whyle,+3000,3.23
john fitzpatrick,+3500,2.78
chris brooks,+6500,1.52
devin duvernay,+8000,1.23
durham smythe,+11000,0.9
jahdae walker,+12000,0.83
travis homer,+12000,0.83
kareem hunt,+550,15.38
rashee rice,+600,14.29
woody marks,+850,10.53
nico collins,+950,9.52
travis kelce,+900,10.0
xavier worthy,+1300,7.14
dalton schultz,+1500,6.25
jayden higgins,+1800,5.26
isiah pacheco,+1800,5.26
nick chubb,+1800,5.26
chiefs,+2000,4.76
texans,+2000,4.76
patrick mahomes,+2000,4.76
christian kirk,+2500,3.85
jaylin noel,+3500,2.78
noah gray,+3000,3.23
marquise brown,+3500,2.78
tyquan thornton,+4000,2.44
cade stover,+4500,2.17
xavier hutchinson,+4000,2.44
juju smithschuster,+4500,2.17
cj stroud,+4000,2.44
brashard smith,+4500,2.17
jared wiley,+6500,1.52
robert tonyan,+7000,1.41
jalen royals,+9000,1.1
british brooks,+9000,1.1
elijah mitchell,+9000,1.1
dare ogunbowale,+9000,1.1
jakob johnson,+15000,0.66
jalen hurts,+550,15.38
saquon barkley,+600,14.29
omarion hampton,+800,11.11
aj brown,+950,9.52
ladd mcconkey,+1200,7.69
devonta smith,+1200,7.69
oronde gadsden,+1300,7.14
quentin johnston,+1300,7.14
kimani vidal,+1400,6.67
dallas goedert,+1500,6.25
keenan allen,+1700,5.56
chargers,+2200,4.35
eagles,+2500,3.85
justin herbert,+3000,3.23
tre harris,+4000,2.44
jahan dotson,+4500,2.17
tank bigsby,+4500,2.17
tyler conklin,+5500,1.79
britain covey,+5500,1.79
will dissly,+6500,1.52
xavier gipson,+5500,1.79
jaret patterson,+6000,1.64
darius cooper,+6500,1.52
grant calcaterra,+7000,1.41
scott matlock,+8000,1.23
will shipley,+8000,1.23
aj dillon,+9000,1.1
derius davis,+9000,1.1
keandre lambertsmith,+10000,0.99
kylen granson,+12000,0.83
cameron latu,+17000,0.58
