lineup_id,tier,temperature,player_ids,total_salary,milp_projection,mean,median,p10,p90,std,skewness,fitness
140,2,0.9985074626865672,"123617-138820,123617-55050,123617-152316,123617-90573,123617-167620,123617-57403,123617-63759,123617-86080,123617-12539",60000,117.5,123.11186741855546,119.32145277602653,91.12893664012894,159.18204049819704,28.164908263085675,0.13457933564430724,159.18204049819704
141,1,0.0,"123617-138820,123617-55050,123617-152647,123617-102965,123617-90573,123617-103539,123617-86312,123617-40845,123617-12534",60000,118.9,123.9115179140424,120.94311646589918,92.05744750905083,159.17995943644652,26.87783346738648,0.11044050301692207,159.17995943644652
142,2,0.5686567164179105,"123617-138820,123617-152316,123617-152647,123617-90573,123617-103539,123617-110484,123617-103619,123617-40845,123617-12548",59900,117.8,123.6723267369663,120.21698963506117,91.91029432522357,159.17852208299885,27.660900539846978,0.12491773711154254,159.17852208299885
143,3,2.6809338466208046,"123617-138820,123617-55050,123617-152316,123617-90573,123617-103539,123617-110484,123617-120639,123617-29780,123617-12546",60000,117.0,122.82443562278776,119.10272961245231,90.59822550477648,159.17596959605152,27.471582622233083,0.1354747580986991,159.17596959605152
144,1,0.0,"123617-138820,123617-55050,123617-152316,123617-90573,123617-110484,123617-151903,123617-129210,123617-86080,123617-12539",60000,125.09999999999998,122.58484821467835,118.96006647106091,91.17003824356631,159.1691292113425,27.169133876205464,0.13341543238490908,159.1691292113425
145,1,0.0,"123617-138820,123617-55050,123617-6654,123617-90573,123617-167620,123617-69777,123617-110484,123617-86080,123617-12534",59900,128.1,123.24259951309529,119.77791771358733,91.65232087210589,159.1613116037084,27.097235908853747,0.12786107819860357,159.1613116037084
146,2,0.46,"123617-138820,123617-55050,123617-30231,123617-90573,123617-57403,123617-86518,123617-110484,123617-86080,123617-12539",59900,117.5,123.2326900903682,119.92361971450364,91.40824301832333,159.1388657302643,27.396560970127737,0.12078415168504712,159.1388657302643
147,3,2.2619701025374797,"123617-138820,123617-55050,123617-45889,123617-129471,123617-103539,123617-110484,123617-151903,123617-103587,123617-12539",60000,117.29999999999998,123.56908522953707,120.4707179692171,92.30992190002982,159.13786535475975,26.679365199739717,0.11613347008534478,159.13786535475975
148,2,0.6522388059701493,"123617-138820,123617-55050,123617-6654,123617-90573,123617-103539,123617-110484,123617-151789,123617-55042,123617-12548",60000,117.7,123.17675570778064,119.53666950338707,91.80303493035395,159.12874585704958,27.543232141014638,0.13215900682088486,159.12874585704958
149,3,1.7424496898719366,"123617-138820,123617-55050,123617-152647,123617-90573,123617-129471,123617-86312,123617-137516,123617-86080,123617-12548",60000,117.1,123.76446182262806,120.9158751225506,92.26986097125098,159.12071301076517,26.644470026699512,0.10691099118214739,159.12071301076517
150,1,0.0,"123617-138820,123617-55050,123617-6654,123617-90573,123617-103539,123617-110484,123617-151903,123617-40845,123617-12552",60000,118.89999999999998,123.36745411857551,119.85188021641423,91.02011837728742,159.10830198136554,27.35447215880968,0.12851916431621094,159.10830198136554
151,3,1.6484352724647486,"123617-138820,123617-55050,123617-89951,123617-167620,123617-57403,123617-110484,123617-151903,123617-103587,123617-12548",60000,117.29999999999998,123.36145178305823,119.93674486001366,92.03657355732913,159.10502708419565,26.95024029365211,0.12707519063758502,159.10502708419565
152,3,1.8596000929383467,"123617-138820,123617-55050,123617-151966,123617-90573,123617-110484,123617-151903,123617-120639,123617-55042,123617-12548",60000,117.4,123.50590482216433,119.98201612168391,92.27297719034071,159.1043124912252,26.93171684455024,0.1308453048433668,159.1043124912252
153,3,2.7832683615413334,"123617-138820,123617-152316,123617-152647,123617-167620,123617-103539,123617-110484,123617-86312,123617-40845,123617-12538",60000,117.0,123.26339111570657,119.71573068078223,91.19808530993826,159.10324522823913,27.436775386259203,0.1293031117899178,159.10324522823913
