QB,RB1,RB2,WR1,WR2,WR3,TE,FLEX,DEF,lineup_id,player_ids,tier,temperature,milp_projection,total_salary,mean,median,p10,p90,std,skewness,fitness,lineupid
drake maye,devon achane,christian mccaffrey,tetairoa mcmillan,wandale robinson,michael pittman,taysom hill,treveyon henderson,saints,,"tetairoa mcmillan,wandale robinson,michael pittman,drake maye,saints,taysom hill,devon achane,christian mccaffrey,treveyon henderson",,,,,137.67132068693093,135.58080390982389,113.33349704625647,165.87314137542157,21.366410618579145,0.09784127125635383,135.58080390982389,child_161108
drake maye,devon achane,christian mccaffrey,tetairoa mcmillan,tre tucker,stefon diggs,kyle pitts sr,treveyon henderson,giants,mutated_697489,"tetairoa mcmillan,tre tucker,stefon diggs,drake maye,giants,kyle pitts sr,devon achane,christian mccaffrey,treveyon henderson",,,,,136.97989868476435,135.55785669559444,110.2729298795931,166.33299112615902,22.338719960532192,0.06365816804554426,135.55785669559444,
drake maye,devon achane,christian mccaffrey,wandale robinson,tre tucker,marvin harrison,taysom hill,treveyon henderson,vikings,,"wandale robinson,tre tucker,marvin harrison,drake maye,vikings,taysom hill,devon achane,christian mccaffrey,treveyon henderson",,,,,136.90527126636104,135.53970974431905,111.40196221678836,163.23230925311537,21.641004559449513,0.06310065312775491,135.53970974431905,child_962569
drake maye,devon achane,christian mccaffrey,tetairoa mcmillan,wandale robinson,michael pittman,kyle pitts sr,treveyon henderson,saints,,"tetairoa mcmillan,wandale robinson,michael pittman,drake maye,saints,kyle pitts sr,devon achane,christian mccaffrey,treveyon henderson",,,,,137.60669647144147,135.52601836830905,112.74615186608145,164.55838484646074,21.696207254145513,0.09590054513951311,135.52601836830905,child_152080
drake maye,devon achane,christian mccaffrey,tetairoa mcmillan,wandale robinson,michael pittman,kyle pitts sr,treveyon henderson,panthers,child_906768,"tetairoa mcmillan,wandale robinson,michael pittman,drake maye,panthers,kyle pitts sr,devon achane,christian mccaffrey,treveyon henderson",,,,,137.61178972332775,135.16521050620804,113.17898785518123,166.2919227557866,21.39590543663791,0.11434801038754981,135.16521050620804,
drake maye,devon achane,christian mccaffrey,khalil shakir,wandale robinson,marvin harrison,kyle pitts sr,treveyon henderson,giants,,"khalil shakir,wandale robinson,marvin harrison,drake maye,giants,kyle pitts sr,devon achane,christian mccaffrey,treveyon henderson",,,,,137.74551892573777,135.144224705461,113.20126066855146,166.6784952022075,21.24179963970358,0.12246110331511773,135.144224705461,child_527845
drake maye,devon achane,christian mccaffrey,wandale robinson,tre tucker,marvin harrison,hunter henry,treveyon henderson,vikings,child_862712,"wandale robinson,tre tucker,marvin harrison,drake maye,vikings,hunter henry,devon achane,christian mccaffrey,treveyon henderson",,,,,137.5855083607453,135.12787479677328,112.80976738360181,166.00582324292256,21.631521901304264,0.11361353006899816,135.12787479677328,
drake maye,devon achane,christian mccaffrey,khalil shakir,wandale robinson,marvin harrison,kyle pitts sr,treveyon henderson,browns,mutated_881078,"khalil shakir,wandale robinson,marvin harrison,drake maye,browns,kyle pitts sr,devon achane,christian mccaffrey,treveyon henderson",,,,,137.02546070434659,135.05149783515276,112.36925657932208,165.1449028462006,20.76976981244691,0.09504018999819969,135.05149783515276,
drake maye,devon achane,christian mccaffrey,wandale robinson,tre tucker,marvin harrison,kyle pitts sr,treveyon henderson,browns,child_727050,"wandale robinson,tre tucker,marvin harrison,drake maye,browns,kyle pitts sr,devon achane,christian mccaffrey,treveyon henderson",,,,,137.13611021276435,134.99847220574418,112.77959696557589,163.91242905189355,20.584469340838343,0.10384712725040851,134.99847220574418,
drake maye,devon achane,christian mccaffrey,wandale robinson,troy franklin,michael pittman,kyle pitts sr,treveyon henderson,titans,child_127451,"wandale robinson,troy franklin,michael pittman,drake maye,titans,kyle pitts sr,devon achane,christian mccaffrey,treveyon henderson",,,,,136.61124491337284,134.9952243219597,111.48930189390417,162.6682165467639,20.715996631204987,0.07800834399532983,134.9952243219597,
drake maye,devon achane,christian mccaffrey,wandale robinson,troy franklin,michael pittman,kyle pitts sr,treveyon henderson,raiders,,"wandale robinson,troy franklin,michael pittman,drake maye,raiders,kyle pitts sr,devon achane,christian mccaffrey,treveyon henderson",,,,,137.02067275253717,134.96420726685264,112.595678989864,164.28872238010914,20.424767526589303,0.10068489068516376,134.96420726685264,child_468330
drake maye,devon achane,christian mccaffrey,wandale robinson,tre tucker,marvin harrison,kyle pitts sr,treveyon henderson,dolphins,,"wandale robinson,tre tucker,marvin harrison,drake maye,dolphins,kyle pitts sr,devon achane,christian mccaffrey,treveyon henderson",,,,,136.98002844085596,134.94874706479402,113.33342538010942,161.29219017232086,19.69881061287075,0.10311695543358074,134.94874706479402,child_852347
drake maye,devon achane,christian mccaffrey,tetairoa mcmillan,wandale robinson,troy franklin,kyle pitts sr,treveyon henderson,jets,,"tetairoa mcmillan,wandale robinson,troy franklin,drake maye,jets,kyle pitts sr,devon achane,christian mccaffrey,treveyon henderson",,,,,136.77292938671866,134.9331209786326,113.58282121861622,163.4364673418841,20.023113118235557,0.09188423384625996,134.9331209786326,child_354288
drake maye,devon achane,christian mccaffrey,wandale robinson,jakobi meyers,michael pittman,kyle pitts sr,treveyon henderson,saints,child_465947,"wandale robinson,jakobi meyers,michael pittman,drake maye,saints,kyle pitts sr,devon achane,christian mccaffrey,treveyon henderson",,,,,136.7303671041542,134.90961688823626,113.63785670573974,161.8125529867,19.87820879741278,0.09159528579631969,134.90961688823626,
drake maye,devon achane,christian mccaffrey,wandale robinson,troy franklin,michael pittman,taysom hill,treveyon henderson,saints,,"wandale robinson,troy franklin,michael pittman,drake maye,saints,taysom hill,devon achane,christian mccaffrey,treveyon henderson",,,,,136.47052475581725,134.85877283845917,111.80038031817263,163.36110931327997,20.6352481252247,0.07810673792615358,134.85877283845917,child_793484
drake maye,devon achane,christian mccaffrey,khalil shakir,wandale robinson,marvin harrison,hunter henry,treveyon henderson,saints,child_266703,"khalil shakir,wandale robinson,marvin harrison,drake maye,saints,hunter henry,devon achane,christian mccaffrey,treveyon henderson",,,,,136.26777800432092,134.19239824481105,112.44100533239713,161.3565546077206,20.128668739348036,0.10310566418398383,134.19239824481105,
drake maye,devon achane,christian mccaffrey,wandale robinson,tre tucker,marvin harrison,darnell washington,treveyon henderson,dolphins,,"wandale robinson,tre tucker,marvin harrison,drake maye,dolphins,darnell washington,devon achane,christian mccaffrey,treveyon henderson",,,,,136.73582189256913,133.8683489090114,111.63638621949758,165.3188307443431,22.845545119300862,0.12551562979056197,133.8683489090114,child_477676
drake maye,devon achane,christian mccaffrey,tetairoa mcmillan,wandale robinson,troy franklin,darnell washington,treveyon henderson,saints,child_140720,"tetairoa mcmillan,wandale robinson,troy franklin,drake maye,saints,darnell washington,devon achane,christian mccaffrey,treveyon henderson",,,,,137.33790847735676,133.83608499086787,110.82244382262132,169.77833226662594,24.195201969574132,0.1447321452779146,133.83608499086787,
drake maye,devon achane,christian mccaffrey,wandale robinson,troy franklin,michael pittman,taysom hill,treveyon henderson,dolphins,mutated_691904,"wandale robinson,troy franklin,michael pittman,drake maye,dolphins,taysom hill,devon achane,christian mccaffrey,treveyon henderson",,,,,137.25403651542078,133.79579111097036,111.7617070659416,166.02930545059866,22.180841339800445,0.15591137195707186,133.79579111097036,
drake maye,devon achane,christian mccaffrey,wandale robinson,tre tucker,marvin harrison,taysom hill,treveyon henderson,browns,,"wandale robinson,tre tucker,marvin harrison,drake maye,browns,taysom hill,devon achane,christian mccaffrey,treveyon henderson",,,,,136.95885113784118,133.56764134367103,113.30382752120775,164.01072475891382,21.05575749007316,0.16105855112403125,133.56764134367103,child_973631
drake maye,devon achane,christian mccaffrey,wandale robinson,troy franklin,marvin harrison,kyle pitts sr,treveyon henderson,giants,child_418438,"wandale robinson,troy franklin,marvin harrison,drake maye,giants,kyle pitts sr,devon achane,christian mccaffrey,treveyon henderson",,,,,135.8071659996662,133.52950460166582,111.95621272949596,161.58599238846725,20.473816101624486,0.11124752643546848,133.52950460166582,
drake maye,devon achane,christian mccaffrey,wandale robinson,tre tucker,courtland sutton,taysom hill,treveyon henderson,jets,mutated_422636,"wandale robinson,tre tucker,courtland sutton,drake maye,jets,taysom hill,devon achane,christian mccaffrey,treveyon henderson",,,,,136.21786745000344,133.49232374997166,112.12443861452661,164.03868209797523,21.0849307454484,0.129265006033759,133.49232374997166,
drake maye,devon achane,christian mccaffrey,keenan allen,tre tucker,marvin harrison,taysom hill,treveyon henderson,dolphins,mutated_302276,"keenan allen,tre tucker,marvin harrison,drake maye,dolphins,taysom hill,devon achane,christian mccaffrey,treveyon henderson",,,,,135.84804475892048,133.3459859360118,108.25176821771319,164.96900340639652,22.791231978354123,0.10978163994315883,133.3459859360118,
drake maye,devon achane,christian mccaffrey,stefon diggs,wandale robinson,courtland sutton,kyle pitts sr,treveyon henderson,dolphins,child_410324,"stefon diggs,wandale robinson,courtland sutton,drake maye,dolphins,kyle pitts sr,devon achane,christian mccaffrey,treveyon henderson",,,,,135.23801329179219,133.1469840214287,112.96107998394699,160.57154264773152,19.69303038972901,0.10618118334159878,133.1469840214287,
drake maye,devon achane,christian mccaffrey,stefon diggs,wandale robinson,courtland sutton,kyle pitts sr,travis etienne,saints,mutated_768461,"stefon diggs,wandale robinson,courtland sutton,drake maye,saints,kyle pitts sr,devon achane,christian mccaffrey,travis etienne",,,,,134.67816267419252,132.513003227361,111.7717664024296,159.88314552088798,20.156557903821035,0.107417122365971,132.513003227361,
drake maye,devon achane,christian mccaffrey,wandale robinson,jakobi meyers,michael pittman,kyle pitts sr,treveyon henderson,vikings,child_345392,"wandale robinson,jakobi meyers,michael pittman,drake maye,vikings,kyle pitts sr,devon achane,christian mccaffrey,treveyon henderson",,,,,134.50415703543544,132.03377766519594,111.1916230823158,159.88112382418407,19.831413311227877,0.12456900229298602,132.03377766519594,
drake maye,devon achane,christian mccaffrey,wandale robinson,tre tucker,marvin harrison,kyle pitts sr,rico dowdle,dolphins,mutated_784547,"wandale robinson,tre tucker,marvin harrison,drake maye,dolphins,kyle pitts sr,devon achane,christian mccaffrey,rico dowdle",,,,,134.18331138969882,131.98589749903883,110.85314226742288,160.44177235597385,20.481030998494557,0.10729019895636635,131.98589749903883,
drake maye,devon achane,christian mccaffrey,wandale robinson,troy franklin,michael pittman,kyle pitts sr,rico dowdle,raiders,mutated_681130,"wandale robinson,troy franklin,michael pittman,drake maye,raiders,kyle pitts sr,devon achane,christian mccaffrey,rico dowdle",,,,,133.97029795740264,131.72149639769975,108.97060947556811,162.23036366062414,21.354394893311635,0.1053086060709323,131.72149639769975,
drake maye,devon achane,christian mccaffrey,jaylen waddle,tetairoa mcmillan,troy franklin,kyle pitts sr,treveyon henderson,giants,,"jaylen waddle,tetairoa mcmillan,troy franklin,drake maye,giants,kyle pitts sr,devon achane,christian mccaffrey,treveyon henderson",,,,,133.90622606323234,131.4372929659582,108.32755948956688,161.9081679430949,21.859070415877223,0.11294776265878392,131.4372929659582,child_349183
bo nix,devon achane,christian mccaffrey,wandale robinson,troy franklin,michael pittman,kyle pitts sr,treveyon henderson,dolphins,84,"bo nix,devon achane,christian mccaffrey,treveyon henderson,wandale robinson,troy franklin,michael pittman,kyle pitts sr,dolphins",2.0,0.9400000000000002,119.1,60000.0,133.29541269641336,130.9751136600579,109.0043329350107,160.56704707699703,21.133279571063483,0.1097936091061091,130.9751136600579,
drake maye,devon achane,christian mccaffrey,wandale robinson,parker washington,marvin harrison,taysom hill,travis etienne,dolphins,mutated_866072,"wandale robinson,parker washington,marvin harrison,drake maye,dolphins,taysom hill,devon achane,christian mccaffrey,travis etienne",,,,,132.8987164687543,130.73869224716503,108.70795035054238,160.01463168384944,19.65396513293586,0.10990271973005147,130.73869224716503,
drake maye,devon achane,christian mccaffrey,jaylen waddle,wandale robinson,courtland sutton,kyle pitts sr,rj harvey,titans,27,"drake maye,devon achane,christian mccaffrey,rj harvey,jaylen waddle,wandale robinson,courtland sutton,kyle pitts sr,titans",2.0,0.37,119.5,60000.0,132.7004096017636,130.44449289320312,109.01970951096278,158.21121660686384,20.74205166514424,0.1087605384934706,130.44449289320312,
drake maye,devon achane,christian mccaffrey,tetairoa mcmillan,rashid shaheed,stefon diggs,kyle pitts sr,treveyon henderson,giants,mutated_313544,"tetairoa mcmillan,rashid shaheed,stefon diggs,drake maye,giants,kyle pitts sr,devon achane,christian mccaffrey,treveyon henderson",,,,,132.34705145513456,130.22340432025726,106.77492506045338,159.77412091032792,22.092937310094655,0.09612334951527565,130.22340432025726,
bo nix,devon achane,christian mccaffrey,wandale robinson,tre tucker,marvin harrison,brenton strange,rj harvey,dolphins,child_812025,"wandale robinson,tre tucker,marvin harrison,bo nix,dolphins,brenton strange,devon achane,christian mccaffrey,rj harvey",,,,,131.75786545028595,130.09243033043794,108.54283587564959,157.71540091670857,20.34143392020461,0.08187402748405952,130.09243033043794,
drake maye,devon achane,christian mccaffrey,jaylen waddle,wandale robinson,troy franklin,kyle pitts sr,rj harvey,saints,12,"drake maye,devon achane,christian mccaffrey,rj harvey,jaylen waddle,wandale robinson,troy franklin,kyle pitts sr,saints",1.0,0.0,119.9,60000.0,131.47427113722037,129.9818603880089,108.12842141675516,156.93540802766273,19.160822083883804,0.0778886596137616,129.9818603880089,
drake maye,devon achane,christian mccaffrey,wandale robinson,troy franklin,alec pierce,kyle pitts sr,rj harvey,chargers,67,"drake maye,devon achane,christian mccaffrey,rj harvey,wandale robinson,troy franklin,alec pierce,kyle pitts sr,chargers",2.0,0.77,119.1,59900.0,131.94009782582623,129.90045469766545,108.50492419377078,156.19763895873692,20.07277049420029,0.1016124370450057,129.90045469766545,
drake maye,devon achane,christian mccaffrey,tetairoa mcmillan,troy franklin,michael pittman,kyle pitts sr,rj harvey,titans,,"tetairoa mcmillan,troy franklin,michael pittman,drake maye,titans,kyle pitts sr,devon achane,christian mccaffrey,rj harvey",,,,,132.64832956201377,129.8775158745132,107.73431972660076,160.28030397619693,22.109454315965444,0.1253225723214592,129.8775158745132,child_145028
drake maye,devon achane,christian mccaffrey,jaylen waddle,wandale robinson,michael pittman,kyle pitts sr,rj harvey,raiders,48,"drake maye,devon achane,christian mccaffrey,rj harvey,jaylen waddle,wandale robinson,michael pittman,kyle pitts sr,raiders",2.0,0.58,119.3,59800.0,131.9250925481957,129.66449136336712,109.53936773226545,158.00520528851595,19.58971155052365,0.1153973696344776,129.66449136336712,
matthew stafford,devon achane,christian mccaffrey,tetairoa mcmillan,wandale robinson,michael pittman,juwan johnson,treveyon henderson,raiders,mutated_906401,"tetairoa mcmillan,wandale robinson,michael pittman,matthew stafford,raiders,juwan johnson,devon achane,christian mccaffrey,treveyon henderson",,,,,132.3209208223522,129.5529323751019,106.96429584378015,161.01710685558157,21.173838845655755,0.13072681186568172,129.5529323751019,
bo nix,devon achane,christian mccaffrey,tetairoa mcmillan,wandale robinson,troy franklin,kyle pitts sr,rj harvey,chargers,16,"bo nix,devon achane,christian mccaffrey,rj harvey,tetairoa mcmillan,wandale robinson,troy franklin,kyle pitts sr,chargers",1.0,0.0,119.8,60000.0,132.07824938994287,129.38304817445783,107.03956684577136,160.39555953948593,21.609137196265102,0.1247250730561735,129.38304817445783,
drake maye,devon achane,christian mccaffrey,jaylen waddle,wandale robinson,troy franklin,hunter henry,rj harvey,titans,9,"drake maye,devon achane,christian mccaffrey,rj harvey,jaylen waddle,wandale robinson,troy franklin,hunter henry,titans",1.0,0.0,119.9,59900.0,131.76171682873743,129.34225871562316,109.9530251609961,155.77963582537302,19.27455603567313,0.1255260099706768,129.34225871562316,
bo nix,devon achane,christian mccaffrey,tetairoa mcmillan,wandale robinson,troy franklin,kyle pitts sr,rj harvey,chargers,,"tetairoa mcmillan,wandale robinson,troy franklin,bo nix,chargers,kyle pitts sr,devon achane,christian mccaffrey,rj harvey",,,,,131.92917645625914,129.2465490567156,107.59672865312662,159.7646692671838,20.988666459752643,0.12781314166327287,129.2465490567156,child_333510
drake maye,devon achane,christian mccaffrey,jaylen waddle,troy franklin,courtland sutton,kyle pitts sr,rj harvey,raiders,55,"drake maye,devon achane,christian mccaffrey,rj harvey,jaylen waddle,troy franklin,courtland sutton,kyle pitts sr,raiders",2.0,0.65,119.3,60000.0,131.4719745573816,129.18981171165692,105.57952226847542,160.0861719879371,21.313918988041294,0.1070738256537968,129.18981171165692,
bo nix,devon achane,christian mccaffrey,jaylen waddle,tetairoa mcmillan,wandale robinson,hunter henry,rj harvey,saints,51,"bo nix,devon achane,christian mccaffrey,rj harvey,jaylen waddle,tetairoa mcmillan,wandale robinson,hunter henry,saints",2.0,0.6100000000000001,119.3,60000.0,131.6128993720301,129.16249420215854,106.75923113362812,159.2960955070734,21.448799762343935,0.1142443958180619,129.16249420215854,
drake maye,devon achane,christian mccaffrey,jaylen waddle,michael pittman,khalil shakir,kyle pitts sr,rj harvey,saints,66,"drake maye,devon achane,christian mccaffrey,rj harvey,jaylen waddle,michael pittman,khalil shakir,kyle pitts sr,saints",2.0,0.76,119.2,59900.0,131.02368583156618,128.96569520630527,105.7677752139194,158.2470112021672,21.420700139933096,0.0960748533809288,128.96569520630527,
drake maye,devon achane,christian mccaffrey,jaylen waddle,michael pittman,khalil shakir,hunter henry,rj harvey,titans,,"jaylen waddle,michael pittman,khalil shakir,drake maye,titans,hunter henry,devon achane,christian mccaffrey,rj harvey",,,,,130.93131272913834,128.7057241662591,105.48327881809165,161.2428363143155,22.23279592081959,0.10010385427030873,128.7057241662591,child_564233
bo nix,devon achane,christian mccaffrey,wandale robinson,troy franklin,michael pittman,kyle pitts sr,rj harvey,seahawks,87,"bo nix,devon achane,christian mccaffrey,rj harvey,wandale robinson,troy franklin,michael pittman,kyle pitts sr,seahawks",2.0,0.97,119.1,59900.0,131.6975040878501,128.63464093850558,108.3835249146714,160.27876698957544,21.05663356232529,0.1454583488038947,128.63464093850558,
matthew stafford,devon achane,christian mccaffrey,darnell mooney,wandale robinson,marvin harrison,darnell washington,treveyon henderson,giants,mutated_614953,"darnell mooney,wandale robinson,marvin harrison,matthew stafford,giants,darnell washington,devon achane,christian mccaffrey,treveyon henderson",,,,,131.13229806219806,128.53430889442393,105.1472854051156,160.65453517306236,22.072192607309127,0.11770417257566954,128.53430889442393,
matthew stafford,devon achane,christian mccaffrey,tetairoa mcmillan,wandale robinson,michael pittman,kyle pitts sr,rj harvey,dolphins,73,"matthew stafford,devon achane,christian mccaffrey,rj harvey,tetairoa mcmillan,wandale robinson,michael pittman,kyle pitts sr,dolphins",2.0,0.8300000000000001,119.1,59800.0,130.6769462742847,128.44055745043048,105.41101306820138,159.33137486117724,21.20469356014153,0.105466689132351,128.44055745043048,
bo nix,devon achane,christian mccaffrey,tetairoa mcmillan,troy franklin,michael pittman,kyle pitts sr,rj harvey,rams,97,"bo nix,devon achane,christian mccaffrey,rj harvey,tetairoa mcmillan,troy franklin,michael pittman,kyle pitts sr,rams",2.0,1.07,119.0,59900.0,130.47442211637463,128.2036084120265,104.43993180264016,158.74196858410642,21.677959153817135,0.1047521903808118,128.2036084120265,
bo nix,devon achane,christian mccaffrey,jaylen waddle,troy franklin,tre tucker,kyle pitts sr,treveyon henderson,dolphins,99,"bo nix,devon achane,christian mccaffrey,treveyon henderson,jaylen waddle,troy franklin,tre tucker,kyle pitts sr,dolphins",2.0,1.09,119.0,60000.0,131.12111433576362,128.0346963555427,105.84024420303555,160.32502033657877,22.02860871531122,0.1401095284821899,128.0346963555427,
bo nix,devon achane,christian mccaffrey,jaylen waddle,tetairoa mcmillan,wandale robinson,kyle pitts sr,rj harvey,dolphins,5,"bo nix,devon achane,christian mccaffrey,rj harvey,jaylen waddle,tetairoa mcmillan,wandale robinson,kyle pitts sr,dolphins",1.0,0.0,120.1,60000.0,129.95668492231226,127.90560984145289,105.99972333332936,157.89974729802324,20.69563163867764,0.0991066673715905,127.90560984145289,
bo nix,devon achane,christian mccaffrey,jaylen waddle,tetairoa mcmillan,tre tucker,kyle pitts sr,rj harvey,chargers,30,"bo nix,devon achane,christian mccaffrey,rj harvey,jaylen waddle,tetairoa mcmillan,tre tucker,kyle pitts sr,chargers",2.0,0.4,119.5,60000.0,130.17640706024147,127.6132455426738,104.8690690228696,159.19017197144683,21.69786499297591,0.11812966475722,127.6132455426738,
matthew stafford,devon achane,christian mccaffrey,jaylen waddle,troy franklin,tre tucker,kyle pitts sr,treveyon henderson,titans,68,"matthew stafford,devon achane,christian mccaffrey,treveyon henderson,jaylen waddle,troy franklin,tre tucker,kyle pitts sr,titans",2.0,0.78,119.1,59900.0,129.0593129572485,127.37361168135628,103.02811370673568,157.54874398476304,21.23376672771056,0.0793877646631737,127.37361168135628,
drake maye,devon achane,christian mccaffrey,jaylen waddle,troy franklin,michael pittman,hunter henry,rj harvey,raiders,32,"drake maye,devon achane,christian mccaffrey,rj harvey,jaylen waddle,troy franklin,michael pittman,hunter henry,raiders",2.0,0.42,119.5,59900.0,129.8150471117192,127.24455315700511,105.43807368117074,157.13013742433054,20.520438601336995,0.1252650591272743,127.24455315700511,
bo nix,devon achane,christian mccaffrey,jaylen waddle,wandale robinson,michael pittman,hunter henry,rj harvey,dolphins,85,"bo nix,devon achane,christian mccaffrey,rj harvey,jaylen waddle,wandale robinson,michael pittman,hunter henry,dolphins",2.0,0.95,119.1,59700.0,129.8065487845141,127.24337110055862,105.93577460869952,158.7656809445631,20.867709383295455,0.1228298533813821,127.24337110055862,
drake maye,devon achane,christian mccaffrey,jaylen waddle,troy franklin,alec pierce,hunter henry,rj harvey,dolphins,21,"drake maye,devon achane,christian mccaffrey,rj harvey,jaylen waddle,troy franklin,alec pierce,hunter henry,dolphins",2.0,0.31,119.6,60000.0,129.1605349888752,126.96066028624546,104.7997783136456,155.07434576984417,20.843663063560356,0.1055416553185249,126.96066028624546,
matthew stafford,devon achane,christian mccaffrey,tetairoa mcmillan,troy franklin,michael pittman,hunter henry,rj harvey,dolphins,57,"matthew stafford,devon achane,christian mccaffrey,rj harvey,tetairoa mcmillan,troy franklin,michael pittman,hunter henry,dolphins",2.0,0.67,119.3,59900.0,129.37687434786272,126.95075450624734,103.74843102451678,158.78287241096143,22.455503918953692,0.1080412112046886,126.95075450624734,
bo nix,devon achane,christian mccaffrey,tetairoa mcmillan,michael pittman,khalil shakir,kyle pitts sr,rj harvey,chargers,69,"bo nix,devon achane,christian mccaffrey,rj harvey,tetairoa mcmillan,michael pittman,khalil shakir,kyle pitts sr,chargers",2.0,0.79,119.1,59900.0,130.21073565685808,126.83369927821371,104.65574772894206,159.19274022097417,23.06016804856237,0.1464445693341291,126.83369927821371,
cj stroud,devon achane,christian mccaffrey,jaylen waddle,troy franklin,michael pittman,kyle pitts sr,treveyon henderson,dolphins,90,"cj stroud,devon achane,christian mccaffrey,treveyon henderson,jaylen waddle,troy franklin,michael pittman,kyle pitts sr,dolphins",2.0,1.0,119.1,60000.0,128.53025349580983,126.72108867011866,101.89183802142492,156.21361011213625,21.07594828686407,0.0858402573903999,126.72108867011866,
jaxson dart,devon achane,christian mccaffrey,jaylen waddle,tetairoa mcmillan,troy franklin,kyle pitts sr,rj harvey,dolphins,54,"jaxson dart,devon achane,christian mccaffrey,rj harvey,jaylen waddle,tetairoa mcmillan,troy franklin,kyle pitts sr,dolphins",2.0,0.64,119.3,59900.0,128.50153604757057,126.68042295471332,101.3408393887602,158.06721352792408,21.92332370185932,0.0830673814620002,126.68042295471332,
bo nix,devon achane,christian mccaffrey,jaylen waddle,tetairoa mcmillan,troy franklin,kyle pitts sr,ashton jeanty,titans,46,"bo nix,devon achane,christian mccaffrey,ashton jeanty,jaylen waddle,tetairoa mcmillan,troy franklin,kyle pitts sr,titans",2.0,0.56,119.3,59900.0,128.8174103908498,126.63470689672712,104.02014679717897,156.05297164452026,20.643188997377305,0.1057348016529804,126.63470689672712,
