id,name,position,team,opponent,game,salary,fppg,injury_status,fpProjPts,espnScoreProjection,espnSimulationProjection,espnOutsideProjection,espnLowScore,espnHighScore,tdOdds,tdProbability,espnOutsideProjection_fp,espnScoreProjection_fp,espnSimulationProjection_fp,espnLowScore_fp,espnHighScore_fp,consensus,floor_shootout,ceiling_shootout,floor_defensive,ceiling_defensive,floor_blowout_favorite,ceiling_blowout_favorite,floor_blowout_underdog,ceiling_blowout_underdog,floor_competitive,ceiling_competitive,mu_shootout,sigma_shootout,shift_shootout,mu_defensive,sigma_defensive,shift_defensive,mu_blowout_favorite,sigma_blowout_favorite,shift_blowout_favorite,mu_blowout_underdog,sigma_blowout_underdog,shift_blowout_underdog,mu_competitive,sigma_competitive,shift_competitive,td_odds_floor_mult,td_odds_ceiling_mult,game_id,shootout_prob,defensive_prob,blowout_prob,competitive_prob,is_favorite
123865-64401,Saquon Barkley,RB,PHI,LAC,PHI@LAC,8700,12.866666158040363,,13.4,,,,,,600,14.29,,,,,,13.4,6.525360000000001,20.02539,6.887880000000001,21.93257,6.887880000000001,24.79334,5.437800000000001,20.02539,6.162840000000001,22.88616,2.4505125946420403,0.4429762253647685,0.0,2.5230320943800413,0.4573746147576166,0.0,2.5843332554262077,0.5052081648809909,0.0,2.359351816245063,0.5141093587071152,0.0,2.4886990840343275,0.5173742486637516,0.0,1.007145,1.021435,LAC@PHI,0.20221948685449184,0.3295274644285589,0.06197252047882672,0.4062805282381225,True
123865-72731,Josh Jacobs,RB,GB,CHI,CHI@GB,8600,16.009091463955965,,17.0,,,,,,390,20.41,,,,,,17.0,8.683200000000001,24.172050000000002,9.165600000000001,26.474149999999998,9.165600000000001,29.927300000000002,7.236000000000001,24.172050000000002,8.200800000000001,27.6252,2.693448061661075,0.4072443675395709,0.0,2.7659675613990764,0.42164275693241904,0.0,2.8272687224452424,0.4694763070557932,0.0,2.602287283264098,0.47837750088191766,0.0,2.7316345510533617,0.48164239083855404,0.0,1.010205,1.030615,CHI@GB,0.2092019684965326,0.320705430262647,0.3107920757201413,0.15930052552067914,True
123865-91750,Trey McBride,TE,ARI,LAR,LAR@ARI,8600,15.491666158040363,,12.9,,,,,,950,9.52,,,,,,12.9,5.1880500000000005,25.932619999999996,5.1880500000000005,21.301795,5.533920000000001,21.301795,5.533920000000001,24.080289999999998,5.879790000000001,23.154125,2.460393623969855,0.6314900115397984,0.0,2.3620384768468283,0.5547430824521417,0.0,2.394307737415614,0.5295632446396282,0.0,2.4556088984617803,0.5773967947630023,0.0,2.466310852793357,0.5384419303415748,0.0,1.00476,1.01428,ARI@LAR,0.3063117141622316,0.15947996934907177,0.493949934956998,0.04025838153169875,False
123865-45889,Davante Adams,WR,LAR,ARI,LAR@ARI,8600,15.158332824707031,,14.2,,,,,,450,18.18,,,,,,14.2,5.837400000000001,28.926629999999996,5.837400000000001,21.944339999999997,6.226560000000001,21.944339999999997,6.6157200000000005,26.931689999999996,6.6157200000000005,24.936749999999996,2.582500924511586,0.6313959729913923,0.0,2.444374236197507,0.5236151454166691,0.0,2.476643496766293,0.49843530760415583,0.0,2.609353013997517,0.5546834503655097,0.0,2.570872493429453,0.5246569406232258,0.0,1.00909,1.02727,ARI@LAR,0.3063117141622316,0.15947996934907177,0.493949934956998,0.04025838153169875,True
123865-102785,Jayden Daniels,QB,WAS,MIN,WAS@MIN,8500,18.926666259765625,,17.7,,,,,,1300,7.14,,,,,,17.7,7.58565,33.30446,7.58565,27.357234999999996,8.09136,27.357234999999996,8.09136,32.115015,8.59707,29.736124999999998,2.7730831616953173,0.5799698072415271,0.0,2.67472801457229,0.5032228781538701,0.0,2.706997275141075,0.4780430403413567,0.0,2.7871686001786653,0.5406010576643044,0.0,2.7790003905188185,0.48692172604330336,0.0,1.00357,1.01071,MIN@WAS,0.23877322019874606,0.2639776831796673,0.06301791260740049,0.43423118401418626,True
123865-57439,Patrick Mahomes,QB,KC,HOU,HOU@KC,8400,23.27666727701823,,18.3,,,,,,2000,4.76,,,,,,18.3,7.885350000000001,34.225939999999994,7.885350000000001,28.114164999999996,8.411040000000002,28.114164999999996,8.411040000000002,33.003585,8.93673,30.558875,2.803741123390079,0.5745826881986595,0.0,2.7053859762670522,0.49783575911100275,0.0,2.7376552368358373,0.4726559212984894,0.0,2.8178265618734275,0.5352139386214371,0.0,2.8096583522135803,0.48153460700043604,0.0,1.00238,1.00714,HOU@KC,0.19505852745049113,0.36176756366040586,0.12058597810041272,0.3225879307886903,True
123865-72846,A.J. Brown,WR,PHI,LAC,PHI@LAC,8400,13.263635808771308,,12.1,,,,,,950,9.52,,,,,,12.1,4.788450000000001,25.586264999999997,4.788450000000001,19.41027,5.107680000000001,19.41027,5.42691,23.821695,5.42691,22.057125,2.413595080252556,0.6575151774173412,0.0,2.2754683919384773,0.5497343498426182,0.0,2.307737652507263,0.5245545120301047,0.0,2.4404471697384866,0.5808026547914587,0.0,2.4019666491704226,0.5507761450491747,0.0,1.00476,1.01428,LAC@PHI,0.20221948685449184,0.3295274644285589,0.06197252047882672,0.4062805282381225,True
123865-63115,Lamar Jackson,QB,BAL,PIT,PIT@BAL,8400,17.559999254014755,,18.0,,,,,,1300,7.14,,,,,,18.0,7.735500000000002,33.76519999999999,7.735500000000002,27.735699999999998,8.251200000000003,27.735699999999998,8.251200000000003,32.5593,8.766900000000001,30.147499999999997,2.7897337531689255,0.5776981646473084,0.0,2.6913786060458986,0.5009512355596517,0.0,2.723647866614684,0.4757713977471383,0.0,2.803819191652274,0.5383294150700859,0.0,2.795650981992427,0.4846500834490849,0.0,1.00357,1.01071,PIT@BAL,0.21030732243453845,0.33455411305577293,0.2376963248421554,0.2174422396675333,True
123865-91419,Nico Collins,WR,HOU,KC,HOU@KC,8300,13.227272727272728,,13.2,,,,,,950,9.52,,,,,,13.2,5.3379,27.33598,5.3379,20.737640000000003,5.693760000000001,20.737640000000003,6.04962,25.45074,6.04962,23.5655,2.500981904285511,0.6409425123018646,0.0,2.3628552159714316,0.5331616847271414,0.0,2.3951244765402175,0.5079818469146281,0.0,2.5278339937714414,0.5642299896759819,0.0,2.4893534732033773,0.534203479933698,0.0,1.00476,1.01428,HOU@KC,0.19505852745049113,0.36176756366040586,0.12058597810041272,0.3225879307886903,False
123865-104433,Kyren Williams,RB,LAR,ARI,LAR@ARI,8200,14.683333079020182,,13.2,,,,,,600,14.29,,,,,,13.2,6.405480000000001,19.79502,6.76134,21.680259999999997,6.76134,24.50812,5.3379,19.79502,6.04962,22.62288,2.4354561808348594,0.44569623788274176,0.0,2.5079756805728604,0.46009462727559003,0.0,2.5692768416190264,0.5079281773989641,0.0,2.344295402437882,0.5168293712250885,0.0,2.473642670227146,0.520094261181725,0.0,1.007145,1.021435,ARI@LAR,0.3063117141622316,0.15947996934907177,0.493949934956998,0.04025838153169875,True
