QB,RB1,RB2,WR1,WR2,WR3,TE,FLEX,DEF,lineup_id,player_ids,tier,temperature,milp_projection,total_salary,mean,median,p10,p90,std,skewness,fitness
drake maye,devon achane,christian mccaffrey,wandale robinson,troy franklin,michael pittman,kyle pitts sr,rj harvey,dolphins,child_845025,"kyle pitts sr,drake maye,devon achane,christian mccaffrey,rj harvey,dolphins,wandale robinson,troy franklin,michael pittman",2,0.6200000000000001,119.3,60000,134.07587398354545,131.99531985978362,109.76636847807887,161.33901505896796,20.81394975715562,0.0999596015190031,131.99531985978362
drake maye,devon achane,christian mccaffrey,wandale robinson,troy franklin,courtland sutton,kyle pitts sr,treveyon henderson,giants,mutated_213547,"kyle pitts sr,drake maye,devon achane,christian mccaffrey,treveyon henderson,giants,wandale robinson,troy franklin,courtland sutton",2,0.7,119.2,59900,134.52336951370967,131.99212640139046,111.90145242804756,160.05299264446205,20.001940470042417,0.1265498773036711,131.99212640139046
drake maye,devon achane,christian mccaffrey,tetairoa mcmillan,troy franklin,michael pittman,kyle pitts sr,rj harvey,titans,child_471858,"kyle pitts sr,drake maye,devon achane,christian mccaffrey,rj harvey,titans,tetairoa mcmillan,troy franklin,michael pittman",2,0.37,119.5,60000,134.20684045266182,131.9444004807146,106.94060568948976,163.3557773213148,22.95342489184662,0.0985665530354418,131.9444004807146
drake maye,devon achane,christian mccaffrey,jaylen waddle,tetairoa mcmillan,wandale robinson,kyle pitts sr,rj harvey,dolphins,child_480239,"kyle pitts sr,drake maye,devon achane,christian mccaffrey,rj harvey,dolphins,jaylen waddle,tetairoa mcmillan,wandale robinson",2,0.6200000000000001,119.3,60000,133.80349255846127,131.92548712726352,110.85683528473848,158.46344871119527,19.760095284003345,0.0950403023976345,131.92548712726352
drake maye,devon achane,christian mccaffrey,stefon diggs,troy franklin,michael pittman,kyle pitts sr,treveyon henderson,titans,child_619148,"kyle pitts sr,drake maye,devon achane,christian mccaffrey,treveyon henderson,titans,stefon diggs,troy franklin,michael pittman",2,0.9400000000000002,119.1,60000,134.16048236101503,131.9171089134324,109.16893328848522,161.89291945848845,21.85962642002779,0.1026263397405203,131.9171089134324
drake maye,devon achane,christian mccaffrey,stefon diggs,troy franklin,jauan jennings,kyle pitts sr,treveyon henderson,dolphins,mutated_725059,"kyle pitts sr,drake maye,devon achane,christian mccaffrey,treveyon henderson,dolphins,stefon diggs,troy franklin,jauan jennings",2,0.9400000000000002,119.1,60000,134.28909799693378,131.8590982644654,109.60796046275097,161.5123314622277,21.62395593710241,0.1123753553483242,131.8590982644654
drake maye,devon achane,christian mccaffrey,wandale robinson,michael pittman,khalil shakir,kyle pitts sr,rj harvey,dolphins,child_810934,"kyle pitts sr,drake maye,devon achane,christian mccaffrey,rj harvey,dolphins,wandale robinson,michael pittman,khalil shakir",2,0.79,119.1,59900,134.5744623573067,131.7807032798591,110.4380920726767,161.2847010545767,21.097618523389155,0.1324205892883305,131.7807032798591
drake maye,devon achane,christian mccaffrey,jaylen waddle,wandale robinson,michael pittman,kyle pitts sr,rj harvey,raiders,child_836186,"kyle pitts sr,drake maye,devon achane,christian mccaffrey,rj harvey,raiders,jaylen waddle,wandale robinson,michael pittman",2,0.58,119.3,59800,132.7694576733722,131.60388403388862,108.47050315640462,159.00504833157336,20.71736373062148,0.0562607122527265,131.60388403388862
drake maye,devon achane,christian mccaffrey,tetairoa mcmillan,courtland sutton,michael pittman,kyle pitts sr,rj harvey,raiders,mutated_263515,"kyle pitts sr,drake maye,devon achane,christian mccaffrey,rj harvey,raiders,tetairoa mcmillan,courtland sutton,michael pittman",2,0.58,119.3,59800,133.99430857675574,131.20466799434556,106.9152088242044,165.34212479577425,24.32480097088193,0.1146829766767478,131.20466799434556
drake maye,devon achane,christian mccaffrey,wandale robinson,troy franklin,michael pittman,kyle pitts sr,rj harvey,chargers,child_338852,"kyle pitts sr,drake maye,devon achane,christian mccaffrey,rj harvey,chargers,wandale robinson,troy franklin,michael pittman",1,0.0,120.0,60000,132.5287647288458,130.6630480223658,109.18979155042165,156.80853793901258,19.49537584922284,0.0957004738410513,130.6630480223658
drake maye,devon achane,christian mccaffrey,michael wilson,wandale robinson,michael pittman,kyle pitts sr,rj harvey,giants,mutated_487895,"kyle pitts sr,drake maye,devon achane,christian mccaffrey,rj harvey,giants,michael wilson,wandale robinson,michael pittman",2,0.7,119.2,59900,132.67199958687797,130.59143476189786,108.17836642924227,158.44642338683343,21.67398807525936,0.0959936315252964,130.59143476189786
drake maye,devon achane,christian mccaffrey,jaylen waddle,wandale robinson,michael pittman,kyle pitts sr,rj harvey,raiders,48,"drake maye,devon achane,christian mccaffrey,rj harvey,jaylen waddle,wandale robinson,michael pittman,kyle pitts sr,raiders",2,0.58,119.3,59800,133.2426980695801,130.52282233860245,108.58911476129632,159.90982351473613,20.544892668272396,0.1323869525577008,130.52282233860245
drake maye,devon achane,christian mccaffrey,jaylen waddle,wandale robinson,michael pittman,hunter henry,rj harvey,giants,39,"drake maye,devon achane,christian mccaffrey,rj harvey,jaylen waddle,wandale robinson,michael pittman,hunter henry,giants",2,0.49,119.4,60000,132.50119036302755,130.28119978269308,108.84534909323648,157.80821243281184,19.64961703931565,0.1129788217191526,130.28119978269308
drake maye,devon achane,christian mccaffrey,courtland sutton,troy franklin,ricky pearsall,kyle pitts sr,treveyon henderson,saints,mutated_329110,"kyle pitts sr,drake maye,devon achane,christian mccaffrey,treveyon henderson,saints,courtland sutton,troy franklin,ricky pearsall",2,0.76,119.2,59900,133.10193870180822,130.25456838113124,108.31453433950934,161.54567621533008,20.940965013404377,0.1359713040375348,130.25456838113124
drake maye,devon achane,christian mccaffrey,stefon diggs,troy franklin,courtland sutton,kyle pitts sr,rj harvey,dolphins,child_758811,"kyle pitts sr,drake maye,devon achane,christian mccaffrey,rj harvey,dolphins,stefon diggs,troy franklin,courtland sutton",2,0.43,119.5,59900,132.6694528343103,130.25170494177104,106.46620194139352,162.4113338282666,22.639492918703063,0.106793376566394,130.25170494177104
drake maye,devon achane,christian mccaffrey,tetairoa mcmillan,wandale robinson,michael pittman,kyle pitts sr,rj harvey,titans,child_952110,"kyle pitts sr,drake maye,devon achane,christian mccaffrey,rj harvey,titans,tetairoa mcmillan,wandale robinson,michael pittman",2,0.7,119.2,59900,133.58359466064408,130.09940756781327,108.7174167546812,162.29714123977135,21.631473748940067,0.1610702596258164,130.09940756781327
bo nix,devon achane,christian mccaffrey,wandale robinson,troy franklin,michael pittman,kyle pitts sr,treveyon henderson,dolphins,84,"bo nix,devon achane,christian mccaffrey,treveyon henderson,wandale robinson,troy franklin,michael pittman,kyle pitts sr,dolphins",2,0.9400000000000002,119.1,60000,132.15396769122728,129.92479581856685,107.96203588732745,159.09410502334862,20.813417843631377,0.1071026339550727,129.92479581856685
