Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
123617-152575,QB,J.J.,J.J. McCarthy,McCarthy,12.526667277018229,6,6500,MIN@SEA,MIN,SEA,O,Concussion,,,,QB
123617-103539,WR,Wan'Dale,Wan'Dale Robinson,Robinson,11.383333841959635,12,6400,NYG@NE,NYG,NE,,,,,,WR/FLEX
123617-69777,WR,Darnell,Darnell Mooney,Mooney,5.033333248562283,9,6400,ATL@NYJ,ATL,NYJ,,,,,,WR/FLEX
123617-103698,QB,Dillon,Dillon Gabriel,Gabriel,9.010000228881836,8,6400,SF@CLE,CLE,SF,,,,,,QB
123617-168356,QB,Cam,Cam Ward,Ward,10.545454545454545,11,6400,JAC@TEN,TEN,JAC,,,,,,QB
123617-138774,RB,Woody,Woody Marks,Marks,8.472726995294744,11,6400,HOU@IND,HOU,IND,,,,,,RB/FLEX
123617-184183,QB,Shedeur,Shedeur Sanders,Sanders,6.869999885559082,2,6400,SF@CLE,CLE,SF,,,,,,QB
123617-137530,TE,Tyler,Tyler Warren,Warren,10.754545731977982,11,6300,HOU@IND,IND,HOU,,,,,,TE/FLEX
123617-54604,QB,Jimmy,Jimmy Garoppolo,Garoppolo,-0.30000001192092896,1,6300,LAR@CAR,LAR,CAR,,,,,,QB
123617-91591,QB,Justin,Justin Fields,Fields,15.962222629123264,9,6300,ATL@NYJ,NYJ,ATL,,,,,,QB
123617-33259,QB,Teddy,Teddy Bridgewater,Bridgewater,0.9600000381469727,3,6300,ARI@TB,TB,ARI,,,,,,QB
123617-86518,WR,Khalil,Khalil Shakir,Shakir,9.354545593261719,11,6300,BUF@PIT,BUF,PIT,,,,,,WR/FLEX
123617-110484,RB,RJ,RJ Harvey,Harvey,8.5363637750799,11,6300,DEN@WAS,DEN,WAS,,,,,,RB/FLEX
123617-103376,RB,Zach,Zach Charbonnet,Charbonnet,9.169999694824218,10,6300,MIN@SEA,SEA,MIN,,,,,,RB/FLEX
123617-87127,RB,Chris,Chris Rodriguez Jr.,Rodriguez Jr.,5.875,8,6200,DEN@WAS,WAS,DEN,,,,,,RB/FLEX
123617-151903,WR,Troy,Troy Franklin,Franklin,9.89090936834162,11,6200,DEN@WAS,DEN,WAS,,,,,,WR/FLEX
123617-69213,WR,Michael,Michael Pittman Jr.,Pittman Jr.,12.472726995294744,11,6200,HOU@IND,IND,HOU,,,,,,WR/FLEX
123617-90912,RB,Kenneth,Kenneth Gainwell,Gainwell,9.636363636363637,11,6200,BUF@PIT,PIT,BUF,,,,,,RB/FLEX
123617-14225,QB,Andy,Andy Dalton,Dalton,2.630000114440918,4,6200,LAR@CAR,CAR,LAR,,,,,,QB
123617-42104,RB,Alvin,Alvin Kamara,Kamara,7.654545177112926,11,6100,NO@MIA,NO,MIA,NA,Knee - mcl,,,,RB/FLEX
123617-86153,RB,Tyrone,Tyrone Tracy Jr.,Tracy Jr.,7.69000015258789,10,6100,NYG@NE,NYG,NE,,,,,,RB/FLEX
123617-63634,WR,Jakobi,Jakobi Meyers,Meyers,7.919999694824218,10,6100,JAC@TEN,JAC,TEN,,,,,,WR/FLEX
123617-129210,WR,Jordan,Jordan Addison,Addison,10.100000381469727,8,6100,MIN@SEA,MIN,SEA,,,,,,WR/FLEX
123617-86081,QB,Emory,Emory Jones,Jones,,0,6000,ATL@NYJ,ATL,NYJ,IR,Concussion,,,,QB
123617-103591,QB,Graham,Graham Mertz,Mertz,,0,6000,HOU@IND,HOU,IND,NA,Coach's decision,,,,QB
123617-160938,QB,Quinn,Quinn Ewers,Ewers,2.119999885559082,1,6000,NO@MIA,MIA,NO,NA,Coach's decision,,,,QB
123617-149696,QB,Trey,Trey Lance,Lance,2.2200000286102295,2,6000,LV@LAC,LAC,LV,,,,,,QB
123617-93382,QB,Aidan,Aidan O'Connell,O'Connell,11.164444817437065,9,6000,LV@LAC,LV,LAC,,,,,,QB
123617-69833,QB,Shane,Shane Buechele,Buechele,,0,6000,BUF@PIT,BUF,PIT,,,,,,QB
123617-86243,QB,Will,Will Levis,Levis,10.995000203450521,12,6000,JAC@TEN,TEN,JAC,IR,Shoulder,,,,QB
