name,espnScoreProjection,espnLowScore,espnHighScore,espnOutsideProjection,espnSimulationProjection,name_norm
cedric tillman,10.851430733260932,6.492,18.454,7.88534621,11.123,cedric tillman
sterling shepard,8.459055765042422,3.085,13.617,5.34984952,8.351,sterling shepard
elic ayomanor,9.244010604869809,4.264,17.076,8.53322238,9.039,elic ayomanor
gabe davis,9.871350232296583,4.372,17.395,6.1,9.288,gabe davis
marvin mims,9.041163169795958,3.561,13.811,6.28402201,8.686,marvin mims
jaylin noel,2.923313885523541,0.827,6.861,1.9993526,2.461,jaylin noel
roman wilson,7.660087243836433,1.818,12.76,4.0,7.289,roman wilson
jalen nailor,3.87497111,1.147,8.422,3.87497111,3.339,jalen nailor
xavier hutchinson,5.041172636832677,1.878,11.32,4.0,4.438,xavier hutchinson
tyrell shavers,3.5,-0.056,7.056,3.5,3.5,tyrell shavers
isaiah bond,4.0,1.79,8.508,4.0,4.162,isaiah bond
jordan whittington,3.135086737173829,-0.436,6.707,2.5,3.135,jordan whittington
kyle williams,1.86530026,0.784,7.575,1.86530026,2.515,kyle williams
tim patrick,1.5,1.177,8.571,1.5,3.424,tim patrick
demarcus robinson,3.3,-0.249,6.849,3.3,3.3,demarcus robinson
chris moore,1.79316348,0.756,6.107,1.79316348,2.082,chris moore
tre harris,3.2375756103845212,2.201,4.274,2.70948076,3.238,tre harris
donte thornton,5.56978951867146,3.3,6.606,3.3,5.57,donte thornton
keon coleman,0.0,0.0,7.542,0.0,2.35,keon coleman
trey mcbride,15.435417083889268,4.746,17.33787228,17.33787228,11.286,trey mcbride
brock bowers,13.2504615466171,4.229,14.833,14.55722634,11.032,brock bowers
george kittle,13.572442927393094,6.48,14.119,14.05729615,11.74,george kittle
tyler warren,11.540906762986436,5.319,13.29403696,13.29403696,9.167,tyler warren
oronde gadsden,8.539169992617703,3.947,12.512,10.63488728,8.23,oronde gadsden
hunter henry,10.510164216359348,5.021,12.358,11.24804119,8.858,hunter henry
kyle pitts,9.894364598401904,4.672,11.975,11.42052791,8.792,kyle pitts
juwan johnson,7.959069371657867,3.72,12.412,8.65398612,8.066,juwan johnson
dalton schultz,7.553457045455637,2.765,11.748,8.91558241,7.257,dalton schultz
brenton strange,7.965980493977899,3.722,12.413,8.76294321,8.067,brenton strange
theo johnson,7.896150636497843,3.684,12.397,8.83638996,8.04,theo johnson
harold fannin,8.682226289918196,4.154,13.088,10.25892287,7.775,harold fannin
cade otton,7.920063406671803,3.105,12.301,8.08263954,7.703,cade otton
zach ertz,7.153502445858029,2.81,11.103,8.72760381,6.957,zach ertz
aj barner,7.0977808296052665,2.791,11.079,7.65046203,6.935,aj barner
mason taylor,7.875830615237904,3.68,12.395,8.49099952,8.038,mason taylor
evan engram,7.971300944435772,3.723,12.413,8.08045876,8.068,evan engram
taysom hill,7.4517316776754114,3.936,13.744,7.60755771,8.84,taysom hill
tj hockenson,6.169567448382622,1.947,11.057,6.64729243,6.502,tj hockenson
gunnar helm,5.892112773736381,2.193,12.598,6.6,5.014,gunnar helm
colby parkinson,7.450568509830902,2.723,11.602,7.81074319,7.163,colby parkinson
pat freiermuth,7.105137635374088,2.794,11.082,5.34688282,6.938,pat freiermuth
dawson knox,3.6878887935518865,-0.278,7.654,3.19847926,3.688,dawson knox
chig okonkwo,4.975018134768282,2.067,11.393,6.18347991,4.596,chig okonkwo
david njoku,4.650124480346964,2.016,11.004,5.62276728,4.454,david njoku
darnell washington,5.346343580271757,2.014,15.348,5.00079522,4.302,darnell washington
jonnu smith,6.358235342187644,2.01,11.15,5.69454648,6.58,jonnu smith
jatavion sanders,5.369235650577846,4.333,6.406,5.1,5.369,jatavion sanders
darren waller,4.224266717441891,1.976,10.617,4.87809687,4.319,darren waller
terrance ferguson,1.9086538534934268,1.69,8.346,1.9,3.495,terrance ferguson
elijah arroyo,3.534486776924707,1.902,9.875,3.5,4.064,elijah arroyo
austin hooper,1.7152742485991173,1.619,7.93,2.1,3.33,austin hooper
